Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Case_ID
"TOPS MARKETS, LLC
  6363 MAIN STREET
  WILLIAMSVILLE, NY 14221
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",RETAIL GROCERY STORE,,396,111,,9/13/2003,N/A,ECONOMIC,OTHER,LAYOFF,,"NATALIE SHERMAN, DIR. OF ASSOC. RELATIONS 716 635-5947",667
"MACY'S
  625 ATLANTIC AVENUE
  BROOKLYN, NY 11217
  County: KINGS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",RETAIL STORE,,117,117,,8/26/2003,9/9/2003,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"WILLIAM H. IVES, GROUP V.P.H.R., 212 494-5328",663
"ERICSSON MESSAGING SYSTEMS
  145 CROSSWAYS PARK DRIVE WEST
  WOODBURY, NY 11797
  County: NASSAU | SSA Name: OYSTER BAY | Region: LONG ISLAND",COMMUNICATIONS,,24,24,,7/30/2003,7/30/2003,ECONOMIC,OTHER,CLOSING,NONE,"CAROL DARLING, ASST. GEN. COUNSEL OR JOAN SPARKS, 516 667-1003",662
"THERMO ELECTRON CORP.
  100 COLIN DRIVE
  HOLBROOK, NY 
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",PROCESSING OPERATION,,53,53,,BEGINNING 8/15/2003,10/3/2003,"ECONOMIC- Closing of the Thermo Savant & Thermo 
  EC operations
  At the Holbrook plant.",PLANT CLOSING,UNIT CLOSING,NONE,"I-LUN ELLEN CHANG, HR. MGR., 508 541-0468",661
"UNION TOOLS, INC.
  4167 ACME ROAD
  FRANKFORT, NY 13340
  County: HERKIMER | SSA Name: HMO | Region: CENTRAL REGION",MANUF. OF TOOLS,,Approx. 180,80,,8/18/2003,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,"BOILERMAKERS; AFL/CIO LO. 1916, ROCCO DEROLLO, INTL. VP","CAROL LASCALA, VPHR, 315 895-7155",659
"FMS AMERICA
  FEDERATED GROUP, INC. (PARENT)
  11 JEFFERS STREET
  GLOVERSVILLE, NY 12078
  County: FULTON | SSA Name: FMS | Region: CENTRAL REGION",WHOLESALE GROCERY MERCHANT,,1,1 (SALESMAN),,7/31/2003,7/31/2003,ECONOMIC,OTHER,CLOSING,NONE,"FREDERICK W. BAUMGARTNER, 847 632-8255",653
"TPG - TRANSACTION PRINTER GROUP, INC.
  950 DANBY RD.
  ITHACA, NY 14850
  County: TOMPKINS | SSA Name: TOMPKINS | Region: SOUTHERN TIER",MANUFACTURE OF COMPUTER EQUIPMENT,,52,52,,7/26/2003,"Er states that this is a layoff , but that most of the employees 
  will be laid off.",ECONOMIC - Restructuring of parent: Axiohm Solutions,MASS LAYOFF,MASS LAYOFF,"IAM, DIST. LODGE 58, HENRY KRAUSS, BUS. REP, ELMIRA","JOHN L. CAMPBELL, DIR. H.R. , 607 274-2477",652
"KEMPER INSURANCE COMPANIES
  30 ROCKEFELLER PL.
  NEW YORK, NY 10112
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",INSURANCE,,,48,,"BEGINNING 5/1/2003, THROUGH 6/29",N/A,ECONOMIC,OTHER,LAYOFF,,"VICKY LAURES, CORP.H.R. DIR., 847 320-7488",647
"KEMPER INSURANCE COMPANIES
  301 PLAINFIELD ROAD
  SYRACUSE, NY 13221
  County: ONONDAGA | SSA Name: ONONDAGA | Region: CENTRAL REGION",INSURANCE,,,51,,6/29/2003,N/A,ECONOMIC,OTHER,LAYOFF,NONE,"VICKY LAURES, CORP.H.R. DIR., 847 320-7488",646
"TRICO PRODUCTS CORP.
  50 THIELMAN DRIVE
  BUFFALO, NY 14206
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",MFG. OF MOTOR VEHICLE PARTS,,212,212,,7/21/2003 OR 14 DAYS AFTER,3/31/04 WITHIN 14 DAYS,ECONOMIC,PLANT CLOSING,PLANT CLOSING,"UAW, LO. 2100; SCOTT ADAMS, 4285 GENESEE ST., CHEEKTOWAGA, NY 14225","DAVID FABREZIO, MGR. H.R, 716 827-3215",645
"UNITED AIRLINES
  JFK INTL. AIRPORT, TERM.BLDG. 59
  JAMAICA, NY 11430
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,2000 +,98 (87 CABIN SERVICE EMPLOYEES; 11 LEAD CABIN SERVICE EMPLOYEES),,6/24/2003,N/A,ECONOMIC,OTHER,LAYOFF,IAMAW,"RANDALL T. ROTONDO, MANAGING DIR., H.R., 847 700-6062",642
"GE CAPITAL AUTO FINANCIAL SERVICES
  3332 WALDEN AVE., STE. 100
  DEPEW, NY 14043
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",FINANCIAL SERVICES,,132,132,,BEGINNING 7/8/2003,7/3/2004,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"JENNIFER DUNCAN, 847 277-6654",639
"NELCO (NEW ENGLAND LAMINATES CO.)
  40 GOVERNOR DRIVE
  NEWBURGH, NY 
  County: ORANGE | SSA Name: ORANGE | Region: HUDSON VALLEY",MFG. OF COPPER LAMINATES FOR CIRCUIT BOARDS,,260,200,,7/1/2003,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,---,"LYNN JAMES, HR, 845 567-8153",638
"BROOKWOOD CHILD CARE
  25 WASHINGTON ST.
  BROOKLYN, NY 11201
  County: KINGS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",FOSTER CARE & ORPHANAGE,,102,67,,7/1/2003,N/A,Discontinuance of the Foster Care Program,MASS LAYOFF,LAYOFF,---,"SUSAN CHESLER, HR., 718 596-5555",637
"AMERICAN AIRLINES
  JFK INTL. AIRPORT, JAMAICA
  NEW YORK, NY 
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,---,733,,BEGINNING 5/16/2003,N/A,"ECONOMIC - It is not known at this time whether these 
  layoffs
  will be permanent or temporary. Some of these Flight Attendants may be stationed 
  at LaGuardia.",OTHER,LAYOFF OF FLIGHT ATTENDANTS,"APFA; JOHN WARD, PRES., 1004 W. EULESS BLVD., EULESS, TX","KATHERINE MILLARD , 817 967-2944",634
"SHOPRITE SUPERMARKETS, INC.
  2795 RICHMOND AVE.
  STATEN ISLAND, NY 
  County: RICHMOND | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",SUPERMARKET,,163,163,,5/31/2003,5/31/2003,ECONOMIC,PLANT CLOSING,2 STORE CLOSINGS,"UFCW, LO. 342","MARY BEACH, HR. MGR., 732 417-0850",633
"STATE STREET BANK & TRUST CO.
  280 PARK AVE.
  NEW YORK, NY 10005
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",BANK,,,133,,Beginning 4/28/2003,n/a,ECONOMIC,OTHER,LAYOFF,n/a,"RANDY WAINLAND, 201 860-2338",632
"WALLACE PACKAGING CORP.
  57-11 49TH PLACE
  MASPETH, NY 11378
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PACKAGING,,150,150,,6/24/2003,6/24/2003,RELOCATION TO LI,PLANT CLOSING,CLOSING,,"WALTER CARCIONE, EXEC. V.P., 718 386-1881",631
"DYNACAST, INC
  1401 FRONT ST.
  YORKTOWN HEIGHTS, NY 10598
  County: WESTCHESTER | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY",METAL MANUFACTURING,,63,63,,8/29/2003,8/29/2003,ECONOMIC,PLANT CLOSING,CLOSING,"RWDSU, LO. 377","PETER J. DEMARTIS, GEN.MGR., 914 245-0064",626
"ERICSSON AMPLIFIER TECHNOLOGIES INC
  49 WIRELESS BLVD.
  HAUPPAUGE, NY 11788
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",WIRELESS COMMUNICATION,,132,132,,4/10/2003,4/10/2003,"ECONOMIC- IF CURRENT DISCUSSIONS WITH A PURCHASER DO 
  NOT RESULT IN A SALE, THEY WILL HAVE TO CLOSE. If the sale goes through some 
  employees may be rehired.",PLANT CLOSING,POSSIBLE CLOSING,NONE,"CAROL DARLING, GENERAL COUNSEL, 972 583-0909",624
"BULLDOG HOME HARDWARE

  100 PATTERSON STREET
  OGDENSBURG, NY 13669

  County: ST. LAWRENCE | SSA Name: ST LAWRENCE | Region: CAPITAL DISTRICT",PACKAGING OF HARDWARE,,48,48,,6/11/2003,6/17/2003,ECONOMIC,OTHER,CLOSING,"USW, LO. 5335, STEVE DEFOE, PRES., 315 393-5500","JANET SWEENEY, 315 393-5500 OR SCOTT KOENIGS, 815 969-6270",623
"SOURCECORP
  30 WALL STREET
  BINGHAMTON, NY 13901
  County: BROOME | SSA Name: BROOME/TIOGA | Region: SOUTHERN TIER",PROVIDES BUSINESS PROCESS OUTSOURCING,,---,150,,6/10/2003,N/A,ECONOMIC- CONSOLIDATION,MASS LAYOFF,LAYOFF,---,"JAMES COSEO, PRESIDENT, 607 724-0845",622
"JC PENNEY
  185 PRICE PARKWAY
  FARMINGDLARE, NY 11735
  County: NASSAU | SSA Name: HEMPSTEAD | Region: LONG ISLAND",RETAIL STORE,,63,63,,BEGINNING 6/9/03,6/13/2003,ECONOMIC,PLANT CLOSING,CLOSING OF THE COMMON RECEIVING STOCKROOM,,"JAN GUENTHER, MGR. , 631 293-6167",621
"LAIDLAW EDUCATION SERVICES
  32780 US RTE. 11
  PHILADELPHIA, NY 13673
  County: JEFFERSON | SSA Name: JEFF/LEWIS | Region: CAPITAL DISTRICT",TRANSPORTATION,,,97,,6/30/2003,N/A,"ECONOMIC - LOSS OF CONTRACT TO PROVIDE BUS TRANSPORTAION 
  TO THE INDIAN RIVER CENTRAL SCHOOL DISTRICT",MASS LAYOFF,LAYOFF,"IBT, LO. 687; FRED CARTER, PRES.","JOHN REILLY, ESQ., REG. DIR. H.R., 781 843-1779",620
"CPI BUSINESS GROUPS
  500 LEE ROAD
  ROCHESTER, NY 14606
  County: MONROE | SSA Name: MONROE | Region:",CAMERA ASSEMBLY,,66,66,,6/30/2003,6/30/2003,"ECONOMIC- EASTMAN KODAK NOTIFIED THEM THAT THEIR 
  CONTRACT TO ASSEMBLE ONE- USE CAMERAS WILL TERMINATE 6/30/03",PLANT CLOSING (UNIT),UNIT CLOSING,,"PAMELA PRESTON, VPHR, 585 647-5990",619
"US FOODSERVICE, INC.
  12 MARWAY CIRCLE
  ROCHESTER, NY 14624
  County: MONROE | SSA Name: MONROE | Region: FINGER LAKES",WHOLESALE DISTRIBUTION OF GROCERIES,,"88 (Some employees will be offered relocation to the Buffalo 
  facility)",63,,BEGINNING 4/8/2003,6/30/2003,ECONOMIC- CONSOLIDATION,PLANT CLOSING,CLOSING,,"LISA CARTER, REG. V.P., 860 425-3097",618
"LIFETIME HEALTH
  CHESTNUT RIDGE HEALTH CENTER
  8280 WILLETT PKY.
  LYSANDER, NY 13027
  County: ONONDAGA | SSA Name: ONONDAGA | Region: CENTRAL REGION",HEALTH FACILITY,,63,63,,BEGINNING 5/23/2003,11/30/2003,ECONOMIC,PLANT CLOSING,CLOSING OF THE CHESTNUT RIDGE HEALTH CENTER,NONE,"PETER RUSHEFSKY, VP, 315 638-9141",615
"ALLIED IRISH BANK
  405 PARK AVENUE
  NEW YORK, NY 10022
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",BANK,,174,67,,6/2/2003,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,NONE,"DAVID P. CAULFIELD, DIR. H.R., 212 515-6846",614
"ULLMAN COMPANY
  250 KENNEDY DRIVE
  HAUPPAUGE, NY 11788
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",PLASTIC PRODUCTS,,80,80,,6/1/2003,6/1/2003,RELOCATION,PLANT CLOSING,CLOSING,"PRINTING SPECIALTIES & PAPER PRODUCTS, LO. 447 GCIU;
  GRAPHICS COMMUNICATIONS LO.. NO. 51-23-M","WALTER KING, PRESIDENT, 631 273-2660",611
"COMMUNITY NURSING HOME OF POTSDAM
  20 COTTAGE ST.
  POTSDAM, NY 13676
  County: ST. LAWRENCE | SSA Name: ST LAWRENCE | Region: CAPITAL DISTRICT",NURSING HOME,,105,105,,To be determined considering patient care needs,Beginning 3/25/2003,ECONOMIC,PLANT CLOSING,CLOSING,"SEIU, LO. 1199 & 721","CARMEN C. PAONE, ADMINISTRATOR , 315 261-7001",608
"MARKWINS BEAUTY PRODUCTS, INC.
  4014 FIRST AVE.
  BROOKLYN, NY 11232
  County: KINGS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",MANUFACTURE OF COSMETICS,,450,450,,BEGINNING 5/31/2003,BEGINNING 5/31/2003,"ECONOMIC- FORMERLY ""AM COSMETICS"" - ACQUIRED 
  BY MARKWINS. THEY ARE MOVING MANUFACTURING OPERATIONS TO CHINA.",PLANT CLOSING,CLOSING,"UFCWU, LO. 888","MAUREEN MATJANI OR BILL GEORGE, PRES., 718 788-3200",607
"BUFFALO PAPERBOARD/ CARAUSTAR MILL GROUP, INC.
  470 OHIO STREET
  LOCKPORT, NY 14094
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",MANUFACTURE OF PAPERBOARD,,59,59,,6/1/2003,6/1/2003,ECONOMIC,PLANT CLOSING,CLOSING,"RWDSU, LOCAL 1195; GARY ST. ONGE, 5900 BEATTIE AVE., LOCKPORT 14094","EARL STECKER, GEN.MGR., 716 434-2045",606
"MARY MCCLELLAN HOSPITAL 
  1 MYRTLE AVENUE
  CAMBRIDGE, NY 12816
  WASHINGTON | SSA Name: SAR/WAR/WAS | Region: CAPITAL DISTRICT",HEALTH CARE FACILITIES,,199,199,,Beginning 4/1/2003,Unknown,"ECONOMIC- MHS (McClellan Health Services) is winding 
  down their impatient and emergency services and seeking to transfer ownership 
  of the Skilled Nursing Facility, 
  four Family Health Centers and STARS facility. The outcome is not known - some 
  workers who are
  laid off may not get 60 days notice due to unforseen business circumstances.",,CLOSINGS/ Possible change in ownership,,"MARTIN L. PATRICK, DIR.H.R., 518 677-2611",605
,DENTAL AND SURGICAL INSTRUMENTS,,70,70,,"5/30/2003 (Layoff schedule: 5/30 - 21 employees; 6/27 - 
  9; 8/29 - 40)",8/29/2003,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"SHARON MCKIERNAN, DIR. H.R., 516 576-6030",602
,AIRLINE,,---,21,,3/21/2003,N/A,"ECONOMIC - A total of 55 workers -
  Employees being laid off include: mechanics and technical operations workers","OTHER
  -----------------------------------------------------------------------------------------------------------------------------",LAYOFFS AT SIX LOCATIONS,,"KURT J. ERICKSON, 612 727-9780",600
"VERIZON WIRELESS
  133 CALKINS ROAD
  ROCHESTER, NY 
  County: MONROE | SSA Name: MONROE | Region: FINGER LAKES",COMMUNICATIONS,,624,125,,3/18/2003,FOR 3 UNITS- 3/18/03,"ECONOMIC - They are closing 3 units (under 50 each): 
  Customer Financial Services (consisting of Credit Order and Operations & 
  Collections) and the Telesales Department. The company states that even though 
  these dislocations may not fall under WARN, they are giving 60 days notice.",OTHER (Unit closings under 50),CLOSING OF 3 UNITS,,"DEANNA KEMPINSKI, MGR. H.R., 585 321-7382",596
,STEEL,,340,340,,"Possibly beginning 4/16/03 through 4/30/03. The company states 
  that they were unable to give more advanced notice due to unforeseen circumstances 
  related to finalizing the sale terms.",---,"SALE: The employer states that they have signed as 
  Asset Purchase Agreement with International Steel Group. And the new employer 
  may not offer employment to all the employees.",SALE,POSSIBLE LAYOFFS DUE TO SALE OF COMPANY,"USW- THOMAS CONWAY, PRES., LO. 2604, 5050 PITTSBURGH ST., HAMBURG, NY
  716 649-4681","ROBERT WESTERMAN OR DOROTHY STEPHENSON, 610 694-4838",595
,WINERY,,67,67,,6/1/2003,6/1/2003 - This date may be extended.,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"LISA FARRELL , 585 396-7167 or ROBERT FLANNERY, VPHR",593
,TOBACCO CO.,,Employer would not provide,1,,Not known at this time,---,ECONOMIC,OTHER (Layoff under 50),4 LAYOFFS,---,"ELLA LONG, 502/568-7950, 401 SOUTH 4TH ST., STE. 200, LOUISVILLE, 
  KY",592
"XEROX
  800 PHILLIPS ROAD
  WEBSTER, NY 
  County: MONROE | SSA Name: MONROE | Region: FINGER LAKES",MANUF. OF PHOTOGRAPHIC EQUIPMENT,,200,100,,5/9/2003 - 5/16/2003,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,"UNITE- ROCHESTER JOINT BOARD, 750 EAST MAIN ST., ROCHESTER, NY 14607
  GARY BONADONNA","CHRISTA CARONE, 585 423-4915 OR DOUGLAS W. PELINO",588
"BUFFALO COLOR CORPORATION
  100 LEE STREET
  BUFFALO, NY 12410
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",MANUFACTURE OF INDIGO DYE,,Approx. 100 +,44,,3/15/2003 - 4/30/2003,N/A,ECONOMIC- LOSS OF BUSINESSS DUE TO FOREIGN IMPORTS,OTHER,TEMPORARY LAYOFF,,"LAWRENCE H. KAMINSKI, PRES./COO , 716 827-4500",587
,ENERGY,,133,Not known at this time,,---,---,"CONTRACT EXPIRATION- The contract Wackenhut has with 
  Entergy Northeast expires 3/29/03. ER states that from discussions held with 
  them they anticipate extending offers to most of their employees.",OTHER,CONDITIONAL NOTICE,,"MITCH WOOD, 914 737-3732 OR 
  RICHARD A. MICHAU, CPP, PRESIDENT 914 737-3732",586
"CA ONE SERVICES, INC.
  JFK TERMINAL 6, JAMAICA
  NEW YORK, NY 
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",FOOD SERVICE - CONSESSION SERVICES,,140,140,,4/26/2003,4/26/2003,"ECONOMIC: The employer states that jetBlue Airways 
  Corp. will terminate their agreement with CA One to provide services at JFK 
  Terminal 6 on April 26, 2003.",PLANT CLOSING,UNIT CLOSING,"HOTEL EMPLOYEES AND REST. EMPLOYEES INTL. UNION, JOHN WILHELM, PRES., 
  1219 28TH ST., NW, WASHINGTON, DC 20007","ANDREW BEROS, HR DIR., 716 858-5904",585
"WORLDCOM, INC.
  1 INTERNATIONAL DRIVE
  RYEBROOK, NY 10573
  County: WESTCHESTER | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY",DIGITAL COMMUNICATION SERVICES,,64,64,,4/29/2003,4/29/2003,ECONOMIC,PLANT CLOSING,CLOSING,---,"SARAH STANSON, SR. MGR.H.R., 303 217-4039",584
"AMERICAN EAGLE/ AMERICAN AIRLINES
  JFK INTL. AIRPORT, JAMAICA
  NEW YORK, NY 11430
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,----,Not known at this time,,Approx. 5/1/2003,N/A,ECONOMIC,OTHER,POSSIBLE FURLOUGH,Yes,"MIKE COSTELLO, VPHR, 817 967-3113",583
,FOOD SERVICE,,129,---,,---,---,"CONTRACT EXPIRATION 4/30/03 - The company states, that 
  although they are optimistic that they will be awarded the new contract, this 
  notice is being provided in case layoffs have
  to occur.",OTHER,POSSIBLE DISLOCATION,,"ANN SILVER, 212 789-7905",582
,FURNITURE MANUFACTURING,,180,180,,Approx. - 4/21/03,Approx. - 4/21/03,ECONOMIC,PLANT CLOSING,CLOSING,,"LARRY PAPULA, PLANT MGR. , 716 753-2121 or
  JANET TRISCUIT, REGIONAL PERSONNEL MGR., 814 438-3868,",581
,"ENTERTAINMENT, RETAIL",,170,170,,2/25/2003,2/25/2003 (SOME MAY REMAIN FOR CLOSEOUT UNTIL 4/27/03),ECONOMIC,PLANT CLOSING,CLOSING,"IATSE, LO. ONE, 320 W. 46TH ST., 3RD FL., NYC 10036","DANIELLE MARKOWICZ, 212 991-2210",580
,INSURANCE,,24,24,,4/7/2003,Approx. 4/22/2003,ECONOMIC,OTHER,CLOSING,NONE,"JOE KUEHL, 847 320-7488",579
,CABLEVISION,,57,57,,BEGINNING APPROXIMATELY 2/24/2003,APPROXIMATELY 5/9/2003,ECONOMIC,"PLANT CLOSING
  ----------------------------------------------------------------------------------------------------------",4 CLOSINGS,,"JEFFREY YAPP, PRESIDENT RETAIL GROUP, 516 803-1040",574
,,,,,,,,,,,,,573
"INVESTEC INC.
  ONE BATTERY PARK PLAZA
  NEW YORK, NY 1004
  NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",SECURITIES,,33,12,,1/31/2003,N/A,ECONOMIC,OTHER,LAYOFF,NONE,"DAVID R. RAPPAPORT, GEN. COUNSEL, 212 898-7447",572
,MANUFACTURE OF AUTO PARTS,,92,"TO BE DETERMINED 
  (It is possible that at least 50 hourly employees will be affected if the operation 
  is relocated. )",,Not known at this time,n/a,"ECONOMIC: The company states that in the event they 
  cannot find a way to be more cost effective in Buffalo, they will relocate their 
  aluminum heater core units manufacturing operation to Nuevo Laredo.",OTHER (CONDITIONAL NOTICE),POSSIBLE LAYOFF,"USW, LO. 1753, WM. DONNELLY, PRESIDENT, 57 TONAWANDA ST., BUFFALO, NY 14207","JEFF JACKSON, VPHR, 203 562-5121, 100 GANDO DRIVE, NEW HAVEN, CT 06513",571
"ERICSSON AMPLIFIER TECHNOLOGIES INC.
  49 WIRELESS BLVD.
  HAUPPAUGE, NY 11788
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",WIRELESS COMMUNICATION,,Approximately 150+,30,,4/10/2003,N/A,ECONOMIC,OTHER,LAYOFF,NONE,"CAROL DARLING, GENERAL COUNSEL, 972 583-0909",569
"CLARKE AMERICAN CHECKS, INC.
  124 METROPOLITAN DRIVE
  LIVERPOOL, NY 13088
  ONONDAGA | SSA Name: ONONDAGA | Region: CENTRAL REGION",CHECK PRINTING SERVICE CENTER,,38,38,,3/2/2003,3/2/2003,ECONOMIC,OTHER- CLOSING UNDER 50,CLOSING,NONE,"RACHAEL L. ALDAZ, H.R. DIR., 210 697-1235",568
"GOLDMAN, SACHS & CO.
  85 BROAD STREET
  NEW YORK, NY 10004
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",BROKERAGE FIRM,,9500 + IN NYC,TO BE DETERMINED,,First and second quarters of 2003,N/A,"ECONOMIC- They are filing to fufill the requirements 
  of Warn, 
  in the event the dislocations they will be having trigger Warn. They will notify 
  us when
  the number to be laid off is available.",OTHER- CONDITIONAL NOTICE,POSSIBLE LAYOFFS,,"REGINA PALUMBO, VP , 212 357-2191",567
"WOODWARD HSC, INC.
  390 YOUNGS RD.
  BUFFALO, NY 14221
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",MANUFACTURE OF AIRCRAFT ENGINE COMPONENTS,,147,147,,Beginning 4/7/2003,Sometime in July,ECONOMIC,PLANT CLOSING,CLOSING,,"AUDREY MINGLE, SR. H.R., 716 631-9040",566
"INTERCEPT, INC.
  9882 RIVER ROAD
  UTICA, NY 13403
  County: ONEIDA | SSA Name: HMO | Region: CENTRAL REGION",PROVIDING SOFTWARE TO BANKS,,65,55,,3/28/2003,N/A,"ECONOMIC - CONSOLIDATION OF OPERATIONS 
  WITH THEIR CARLSTADT, NJ AND WOODBURY, NY CENTERS",MASS LAYOFF,LAYOFF,,"LISA MEDLAND, H.R. DIR., 770 246-3709",563
"METROPOLITAN ESCORTS, INC.
  7 NORTH STREET
  STATEN ISLAND, NY 10302 
  County: RICHMOND | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",SCHOOL BUS ESCORTS,,881,881,,"2/1/2003 (Company states they were unable to give greater notice 
  due to 
  unforeseeable business circumstances.)",,"ECONOMIC- As a result of the order of Bankruptcy Court, 
  issued 12/12/02,
  rejecting the contractual obligations of Amboy Bus. Co. and Staten Island Bus 
  Inc. (Metro Escorts) to provide escort services on behalf of the NYC Dept. of 
  Education.",PLANT CLOSING (Unit closing),LAYOFF,,"DOMENIC F. GATTO, PRESIDENT, CEO 718 556-8104",560
"JAMESTOWN PRECISION TOOLING
  101 HARRISON ST.
  JAMESTOWN, NY 14702
  County: CHAUTAUQUA | SSA Name: CHAUTAUQUA | Region: WESTERN REGION",TOOL MAKING,,103,103,,BEGINNING 3/21/2003,6/1/2003,ECONOMIC,PLANT CLOSING,PLANT CLOSING,NONE,"THOMAS J. GEIGER, VP, OPERATIONS 716 664-7575",559
"KMART
  111 JERICHO TURNPIKE
  SYOSSET, NY 
  County: NASSAU | SSA Name: OYSTER BAY | Region: LONG ISLAND
Contact: DAVE LANNI, VPHR 248 463-1665
Business Type: RETAIL STORE
Number Affected/ Total Employees: 100
Layoff Date/ Closing Date: 3/21/2003 
Reason for Dislocation: ECONOMIC
SIC: 5310 ERNUM: 5370608 Union: NONE Classification: PLANT CLOSING
  -------------------------------------------------------------------------------------------------------------------------------
  Additional sites:


ER NO.
ADDRESS
NO. AFFECTED


2002-156
1220 OLD COUNTRY RD., WESTBURY, NASSAU CO.
200 


2002-157
Rte. 347 BROOKHAVEN COMMONS, STONY BROOK, SUFFOLK CO.
200 


2002-158
6111 188TH ST., FRESH MEADOWS, QUEENS CO.
200


2002-159
8973 BAY PARKWAY, BROOKLYN, KINGS CO.
200


2002-160
444 RTE. 211 E, MIDDLETOWN, ORANGE CO.
200


2002-161
RTE. 17M, MONROE SHOPPING CTR., MONROE, ORANGE CO.
100


2002-162
800 MIRON LANE, KINGSTON, ULSTER CO.
200


2002-163
6000 S. PARK AVE., STE. 19, HAMBURG, ERIE CO.
100


2002-164
998 BROADWAY, BUFFALO, ERIE CO.
100


2002-165
RD. 2 BOX M1, SOUTHSIDE MALL, ONEONTA, OTSEGO CO.
100


2002-166
300 S. HAMILTON ST., PAINTED POST, STEUBEN CO.
100


2002-167
400 JAY SCUTTI BLVD., ROCHESTER, MONROE CO.

100



2002-168
785 CANANDAIGUA RD., GENEVA, ONTARIO CO.
100




(TOTAL AFFECTED - 2,000)",RETAIL STORE,NASSAU | SSA Name: OYSTER BAY | Region: LONG ISLAND,,,,,,ECONOMIC,,CLOSING OF 14 STORES,,"DAVE LANNI, VPHR 248 463-1665",556
"TELESPECTRUM WORLDWIDE, INC.
  65 GREAT ARROW AVENUE
  BUFFALO, NY 14216
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",COMMUNICATIONS,,846,846,,,,,,CLOSING,,"JIM DUNCAN, DIR. H.R. 416 443-6835",554
"FARLEY'S & SATHERS CANDY CO., INC.
  170 34TH STREET
  BROOKLYN, NY 11232
  County: KINGS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",CANDY COMPANY,,139,139,,,,ECONOMIC,PLANT CLOSING,CLOSING,"Local 2682, UBCJA; ANGELA MONTALBAN, 3030 MIDDLETOWN RD.,
  BRONX, NY 10461","THERESA NEUBERGER , 507 945-8689",553
"UNITED AIRLINES
  JFK INTL. AIRPORT, JAMAICA
  NEW YORK, NY 11430
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,2714,40,,1/19/2003,N/A,ECONOMIC,OTHER- CONDITIONAL NOTICE,PENDING FURLOUGHS,AIR LINE PILOTS; ASSN. OF FLIGHT ATTENDANTS,"IRIS PACE OR PAM POHL, 847 700-9581, 847 700-7502",551
"SENTRY TECHNOLOGY CORPORATION
  350 WIRELESS BLVD.
  HAUPPAUGE, NY 11788
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",MANUFACTURE OF SECURITY SYSTEMS,,70,"52 (29 employees at this location plus 6 Sales and 17 Service 
  Tech. people who ""float"" and are not assigned to a permanent location.)",,3/7/2003,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,NONE,"MARYANN FERRERO OR PETER MURDOCH, CEO Phone: 631 881-2045",550
