Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"New York Air Brake LLC (NYAB)748 Starbuck AvenueWatertown, NY 13601",Peripheral product assembly production lines,Jefferson | WDB Name:JEFF/LEWIS | Region:North Country Region,39,39,8/17/2017 Amended: 10/27/2017,"NYAB anticipates that the first phase of the transfer will begin sometime in the second quarter of 2018, but the exact timing is not yet certain. Once the timing is determined, NYAB will provide an updated WARN notice.",To be determined,"Transferring the peripheral product assembly production lines from its manufacturing plant to NYAB's Premtec facility located in Salisbury, North Carolina.",Plant Unit Closing,Plant Unit Closing,"The International Association Of Machinists &Aerospace Workers - Lodge No 761, District 65","Michael Hawthorne, President",(315) 786-5653,,2017-0032,6092
"AVX Corporation (Olean Advanced Products)1695 Seneca AvenueOlean, NY 14760",Manufacturing ceramic capacitors,Cattaraugus | WDB Name:ALL/CAT | Region: Western Region,67,2,10/24/2017,"The employee separations are expected to occur in phases.The first employee separations are expected to occur starting on January 28, 2018.",To be determined,Economic,Plant Closing,Plant Closing,"IBEW Local 1690, Office & Professional Employees International Union (OPEIU)",Karen Smith. Director of Corporate,(864) 228-8990,33-0379007,2017-0124,6091
"White Fleischner & Fino, LLP61 BroadwayNew York, NY 10006",Leading insurance coverage and defense law firm,New York | WDB Name:NEW YORK CITY | Region:New York CityCounty:Nassau | WDB Name:HEMPSTEAD | Region: Long IslandCounty:Westchester | WDB Name: WESTCH/PTNM | Region:Mid-Hudson Region,59 (total affected workers at all sites),45,10/25/2017,1/31/2018,1/31/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Benjamin A. Fleischner and Ellen Jelinski, Office Managers",(212) 487-9700,-----,2017-0121,6090
"Pfizer, Inc.64 Maple StreetRouses Point, NY 12979",Pharmaceuticals (production),Clinton | WDB Name:C-E-F-H | Region:North Country Region,105,24,10/26/2017,"Separtions will occur between January 5, 2018 and January 22, 2018.",12/31/2017,Economic,Plant Closing,Plant Closing,International Chemical Workers Union/UFCW Local 95c,"Daniel Naiman, SR. Director of Human Resources",(212) 733-2110,51-30943,2017-0120,6088
"KBFK 52 LLC dba Bar Americain152 W 52nd StNew York, NY 10019",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,96,96,10/18/2017,1/17/2018,1/17/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Jackie McMann-Oliveri, Director, Human Resources",(718) 913-9640,20-1024404,2017-0119,6087
"DynaServ Industries, Inc.5830 64th StreetMaspeth, NY 11378",Specialized Services,Queens | WDB Name: NEW YORK CITY | Region: New York City,122,98 (16 affected workers notices have been rescinded),9/11/2017 Amended: 10/23/2017,"All employee separations are expected to occur during the 14-day period starting on December 11, 2017.",-----,Loss of client contract,Plant Layoff,Plant Layoff,IBEW Local 3,"Noemi Diaz, Human Resources Manager",(718) 416-0252 Ext: 6010,,2017-0048,6086
"Xerox CorporationWebster Parts Distribution Center800 Phillips Road, Bldg. 214Webster, NY 14580",Photographic & Photocopying Equipment Manufacturer,Monroe | WDB Name:MONROE | Region: Finger Lakes Region,135,115,9/20/2017,12/18/2017,March 2018,Economic,Plant Unit Closing,Plant Unit Closing,"Workers United Rochester Regional Joint Board, Local 14A","Diana Inman BUSC, HR Bargaining Rights",(585) 422-4229,,2017-0053,6085
"Eastman Kodak Company (Kodak Office)343 State StreetRochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name:MONROE | Region:Finger Lakes Region,-----,4,10/12/2017,1/9/2018,----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,,2017-0118,6084
"Greatbatch, Ltd. (Integer)4096 Barton RoadClarence, NY 14031",Design and development of medical devices,Erie | WDB Name:ERIE | Region:Western Region,59,59,10/16/2017,1/14/2018,4/10/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Dawn Lorenc, Human Resources Generalist",(716) 759-5246,,2017-0117,6083
"GE MDS, LLC175 Science ParkwayRochester, NY 14620",Manufacturing communications devices,Monroe | WDB Name:MONROE | Region: Finger Lakes Region,150,89,10/16/2017,"Separations will occur on January 16, 2018, or during a 14-day period beginning on that date.",-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Zeynep Dilek, HR Generalist",(585) 242-8363,,2017-0116,6082
"CareConnect Insurance Company, Inc.2200 Northern BoulevardEast Hills, NY 11548",Provide health insurance,Nassau | WDB Name:OYSTER BAY | Region:Long Island,225,28,10/12/2017,12/6/2017,To be determined,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Carol DeSantie, Director of Human Resources",(516) 405-7925,,2017-0115,6080
"North Shore-LIJ Health Plan, Inc.2200 Northern BoulevardEast Hills, NY 11548",Provide health services,Nassau | WDB Name: OYSTER BAY | Region:Long Island,107,107,10/12/2017,"Separations will occur January 5, 2018 or within fourteen (14) days of that date.",1/5/2018,Termination of its contract with the Department of Health,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Carol DeSantie, Director of Human Resources",(516) 405-7925,,2017-0114,6079
"Public Service Insurance Company, in RehabilitationOne Park Avenue,15th FloorNew York, NY 10016","Provides auto, home, life and health insurance",New York | WDB Name: NEW YORK CITY | Region:New York City,46,34,10/12/2017,"This phase two of employee separations are expected to commence January 12, 2018.",To be determined,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Gary Stewart, Vice President and Director of Human Resources",(212) 591-9410,,2017-0113,6077
"Eastman Kodak Company (Kodak Office)343 State StreetRochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name:MONROE | Region:Finger Lakes Region,-----,2,10/3/2017,12/31/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,,2017-0112,6075
"Bath & Body Works 503 Broadway New York, NY",Retail Store,New York | WDB Name: NEW YORK CITY  | Region: New York City,56,56,10/4/2017,Spring of 2018,Spring of 2018,"Moving all work from this location to  Company’s headquarters in Columbus, Ohio.",Plant Closing,Plant Closing,The affected  workers are not represented by a union.,"Jennifer Hinkle, SVP. Human Resources",(614) 856-6014,,2017-0111,6074
"Oak-Mitsui, Inc. Aluminum Bonded Copper  Operators 1 Mechanic Street, Building  #2 Hoosick Falls, NY 12090",Electronics manufacturer,Rensselaer | WDB Name: CAPITAL  DISTRICT | Region: Capital Region,20,20,10/5/2017,1/2/2018,1/2/2018,Economic,,Plant Closing,The affected workers are not represented by a union.,"Valerie Risinger,Human Resources Manager",(803) 425-7906,,2017-011,6073
"CVS Pharmacy, Inc.520 Larkfield RoadEast Northport, NY 11731",Pharmacy and retail store,Suffolk | WDB Name:SUFFOLK | Region:Long Island,-----,27,10/5/2017,1/12/2018,1/12/2018,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Jamie Zito, Human Resource Director",(401) 770-3185,,2017-0109,6072
"Genesee Valley Group Health Association dba Lifetime Health Medical Group (Greece Health Center) 470 Long Pond Road Rochester, NY 14612",Versatile primary care health practice,Monroe | WDB Name: MONROE | Region: Finger Lakes Region,289,46,10/2/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Kathryn (Katie) Smith, Manager Human Resources (585) 389-6073 Lynda White, Human Resources Generalist (716) 422-2865 Robert Angello, Director Talent Management and  Administration (585) 402-0221",,,2017-0102,6070
"LaborTemps, Inc. 90-48 160th Street Jamaica, NY 11432",Employment agency,Queens | WDB Name: NEW YORK CITY | Region:New York City,48,48,9/29/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Frank Sallustro, President",(718) 291-0500,,2017-0108,6069
"Concentrix Corporation3750 Monroe AvenuePittsford, NY 14534",Global provider of high value business services,Monroe | WDB Name:MONROE | Region: Finger Lakes Region,521,192,10/2/2017,12/31/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,Daniel Woods,(585) 218-5524,,2017-0097,6068
"Genesee Valley Group Health Association dba Lifetime Health Medical Group(Amherst Health Center)1185 Sweet Home RoadAmherst, NY 14226",Versatile primary care health practice,Erie | WDB Name:ERIE | Region:Western Region,203,90,10/2/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,SEIU Local 200,"Kathryn (Katie) Smith, Manager Human Resources (585) 389-6073Lynda White, Human Resources Generalist (716) 422-2865Robert Angello, Director Talent Management and Administration (585) 402-0221",,,2017-0099,6067
"NH Jolly MadisonTowers Hotel22 East 38th StreetNew York, NY 10016",Hotel,New York | WIB Name:NEW YORK CITY | Region: New York City,73,73,3/30/2017 Amended: 9/28/2017,Layoffs will occur between 12/4/2017 and 12/31/2017.,12/31/2017,Hotel closing for renovations.,Plant Closing,Plant Closing,New York Hotel and Motel Trades Council AFL-CIO and UNITE HERE,"Cary Blenner, Director of Human Resources",(212) 802-0600 ext. 7167,,2016-0199,6066
"Orange Brands Management and 7th & Barrow LLC87 7th Ave SouthNew York, NY 10014",Restaurant,New York | WDB Name:NEW YORK CITY | Region:New York City,81,81,10/2/2017,12/30/2017,1/1/2018,Due to the expiration of their lease.,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Legna Santiago- Director, Human Resources",(212) 604-0600 Ext: 020,,2017-0098,6065
"Heritage Health and Housing, Inc.2473, 2475, 2477 Crotona AvenueBronx, NY 10458","Provides health care, housing and a wide range of social and support services.",Bronx | WDB Name:NEW YORK CITY | Region:New York City,-----,2,9/28/2017,9/30/2017,-----,Loss of NYS Office of Mental Health Funding,PlantLayoff,Plant Layoff,1199 SEIU,"Kenya Salaudeen, Director of Human Resources",(212) 866-2600,,2017-0092,6064
"Warner Music Inc.1633 BroadwayNew York, NY 10019",Music Industry,New York | WDB Name: NEW YORK CITY | Region:New York City,27,2,9/29/2017,"Employee separations are expected to occur in phases. The first phase is scheduled to begin during the 14-day period starting on December 29, 2017.",9/30/2018,"Relocation of Accounting Operations, Cash Management and Recorded Music Rights Administration departments",Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,"Monica Ramirez, Senior Director",(629) 203-5305,,2017-0091,6063
"Global Brands Group(Warehouse)14 Area Development Drive, Suite 200Plattsburgh, NY 12901","Branded fashion accessories, footwear, and apparel companies.",Clinton | WDB Name: C-E-F-H | Region:North Country Region,49,49,9/29/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Ginger McNally, Senior Director, Human Resources",(646) 839-7530,,2017-0090,6062
"Main Street Hub1407 Broadway, 26th FloorNew York, NY 10018",Technology,New York | WDB Name:NEW YORK CITY | Region:New York City,124,108,9/29/2017,12/29/2017,12/29/2017,"Consolidation of sales offices to Austin, TX.",Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Alicia Dixon, Vice President",(512) 592-4105,,2017-0089,6061
"Centerplate at Saks Fifth Avenue New York City, dba Fifth Dining LLC611 5th AvenueNew York, NY 10022",Food and beverage services,New York | WDB Name: NEW YORK CITY | Region:New York City,57,57,9/29/2017,1/1/2018,1/1/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Leigh Russo, Director of Human Resources",(203) 280-2726,,2017-0088,6059
"Shiel Holdings, LLC (Shiel Medical Laboratory, a division of Fresenius Medical Care, NA)Brooklyn Navy Yard, Building 29263 Flushing AvenueBrooklyn, NY 11205",Medical Laboratory,Kings | WDB Name:NEW YORK CITY | Region:New York City,239,239 (208 affected workers at 63 Flusing Ave site; 31 affected workers at other NY locations),9/27/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Sheryl Morgan, Director, Human Resources",(201) 767-7070 Ext: 5845,,2017-0085,6058
"Lindy's Restaurant (52nd 8th Operating Inc.) 825 7th Avenue New York, NY 10019",Restaurant,New York | WDB Name: NEW YORK CITY  | Region: New York City,35,35,9/29/2017,1/7/2018,1/7/2018,Economic,Plant Closing,Plant Closing,UNITE Here Local 100,"Mr. Brett  Trimarchi, District Supervisor",(917) 836-1250,,2017-0087,6057
"ABM Aviation, Inc. JFK International Airport Terminals 2 and 4 Jamaica, NY 11430","Passenger  and Security services at JFK International  Airport, Terminals 2 &4",Queens | WDB Name: NEW YORK CITY  | Region: New York City,560,560,9/25/2017,11/14/2017,11/14/2017,Economic,Plant Closing,Plant Closing,SEIU Local 32BJ,"Dylan Charles, Sr. HRManager",(718) 309-4604,,2017-0086,6056
"Courtyard by Marriott LaGuardia Hotel90-10 Grand Central ParkwayEast Elmhurst, NY 11368",Hotel,Queens | WDB Name: NEW YORK CITY | Region: New York City,144,144,6/28/2017Amended:9/29/2017,"10/15/2017 (layoffs extended from October 1, 2017 to October 15, 2017)",10/15/2017,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Mark Ranieri, General Manager",(718) 308-4803,,2016-0299,6055
"Temple Bar 332 Lafayette Street New York, NY 10012",Restaurant,New York | WDB Name: NEW YORK CITY  | Region: New York City,13,13,9/26/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Bonnie Jenkins and Jesse Fink, Vice Presidents",(212) 947-3636,,2017-0084,6054
"Chandler Hotel LLC12 East 31st StreetNew York, NY 10016",Hotel and Restaurant,New York | WDB Name:NEW YORK CITY | Region:New York City,60,60,9/25/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO, Local 6 affiliated with UNITE HERE","Lucy Sun, Corporate Director of Human Resources",(212) 453-4021,,2017-0080,6053
"PHH Mortgage Corporation1760 Wehrle DriveWilliamsville, NY 14221",Real Estate Credit,Erie | WDB Name:ERIE | Region: Western Region,-----,2 (remote employees),9/27/2017,"The seventh round of layoffs will occur on or about December 29, 2017 or within fourteen days thereof.",7/1/2017,Reduction in loan originations,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Terence P. Zirnheld, Director, HR Business Partner",(716) 545-6044,,2017-0083,6052
"Noho Star 330 Lafayette Street New York, NY 10012",Restaurant,New York | WDB Name: NEW YORK CITY | Region:New York City,54,54,9/26/2017,12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Bonnie Jenkins and Jesse Fink, Vice Presidents",(212) 947-3636,,2017-0082,6051
"Sterling National Bank & Astoria Bank25 West 45th StreetNew York, NY 10036",Financial Institution,New York | WDB Name:NEW YORK CITY | Region:New York CityCounty: Nassau | WDB Name: HEMPSTEAD | Region: Long IslandCounty: Suffolk | WDB Name:SUFFOLK | Region:Long IslandCounty: Orange | WDB Name: ORANGE | Region:Mid-Hudson RegionCounty: Rockland | WDB Name: ROCKLAND | Region:Mid-Hudson RegionCounty:Westchester | WDB Name:WESTCH/PTNM | Region:Mid-Hudson RegionCounty:Kings | WDB Name:NEW YORK CITY | Region:New York CityCounty: Nassau | WDB Name:OYSTER BAY | Region:Long Island,230 (total affected workers at all sites),1,9/26/2017,"The employee separations will occur in stages, with the first stage expected to commence during the 14-day period starting on December 29, 2017. Additional stages will commence during the 14-day period starting on January 31, 2018, February 28, 2018 and March 30, 2018.",,Acquisition of Astoria Bank by Sterling National Bank.,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Gary Zimbalatti, LMSW, SPHR, sHRBP, SHRM-SCP, VP, Assistant Director – Employee Services",(516) 327-7624,,2017-0060,6050
"MD Electronics Corporation33 Precision WayJamestown, NY 14701",Supplies high-quality products to many automobile manufacturers and Tier-1’s.,Chautauqua | WDB Name: CHAUTAUQUA | Region:Western Region,87,87,9/25/2017,"The first separation is expected to occur on December 23, 2017, and all separations are expected to occur within 13 days thereafter.",12/23/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Bruce Dudgeon, President",(716) 661-1802,,2017-0081,6049
"Restaurant Associates (@Barclays)745 7th Ave.New York, NY 10019",Food services,New York | WDB Name:NEW YORK CITY | Region:New York City,41,41,9/21/2017,10/20/2017,10/20/2017,Barclays severed contract,Plant Closing,Plant Closing,"UNITE HERE, Local 100","Julia Galbally, Director of Food Services I",(212) 526-2181,,2017-0059,6047
"Sodexo, Inc. @ EF Education First100 Marymount AvenueTarrytown, NY 10591",Facilites Management,Westchester | WDB Name: WESTCH/PTNM | Region:Mid-Hudson Region,57,0,9/5/2017 Rescission: 9/21/2017,"Contractual agreement to remain in force for the agreed contract period, which will expire September 30, 2018.",10/31/2017,Contract loss,Plant Closing,Plant Closing,Teamsters Local 810,"Curtis Stancil SPHR, SHRM-SCP, HR Business Partner",(860) 546-6547,,2017-0046,6046
"Binder & Binder33-00 Northern Blvd, #7ALong Island City, NY 11101",Social Security Disability advocates,Queens | WDB Name: NEW YORK CITY | Region: New York City,90,90,9/12/2017,12/11/2017,12/11/2017,Economic,Plant Closing,Plant Closing,"United Service Workers Union Local 455, IUJAT","Maureen Hessel, Human Resources",(631) 361-6699,,2017-0058,6045
"Binder & Binder300 Rabro DriveHauppauge, NY 11788",Social Security Disability advocates,Suffolk | WDB Name: SUFFOLK | Region:Long Island,147,100,9/12/2017,12/11/2017,-----,Economic,Plant Layoff,Plant Layoff,"United Service Workers Union Local 455, IUJAT","Maureen Hessel, Human Resources",(631) 361-6699,,2017-0057,6044
"Sykes Enterprises, Incorporated251 John James Audubon PkwyAmherst, NY 14228",Customer contact management solutions and services,Erie | WDB Name: ERIE | Region:Western Region,165,46,9/13/2017,12/29/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Billi Peltz, Director, Area HR Service Delivery",(701) 425-7794,,2017-0055,6043
"D.F. Stauffer Biscuit, Co.8670 Farnsworth RoadCuba, NY 14727",Cookie & Cracker Manufacturer,Allegany | WDB Name:ALL/CAT | Region: Western Region,51,51,9/20/2017,"The expected date of separation of the majority of the employees is December 29, 2017. The expected date of separation of the remaining employees is February 28, 2018, March 31, 2018, and June 30, 2018.",6/30/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,Ronald E. Fink,(717) 843-9016,,2017-0056,6042
"Eastman Kodak Company (Kodak Office)343 State StreetRochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name: MONROE | Region: Finger Lakes Region,-----,1,9/12/2017,12/10/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,,2017-0054,6041
"Xerox CorporationWebster Parts Distribution Center800 Phillips Road, Bldg. 214Webster, NY 14580",Photographic & Photocopying Equipment Manufacturer,Monroe | WDB Name: MONROE | Region: Finger Lakes Region,135,115,9/20/2017,12/18/2017,March 2018,Economic,Plant Unit Closing,Plant Unit Closing,"Workers United Rochester Regional Joint Board, Local 14A","Diana Inman BUSC, HR Bargaining Rights",(585) 422-4229,,2017-0053,6040
"Contemporary Guidance Services, Inc.52 Broadway, 4th FloorNew York, NY 10004",Self-directed rehabilitation and vocational services.,New York | WDB Name: NEW YORK CITY | Region:New York City,53,53,9/11/2017,9/30/2017,9/30/2017,Non-renewal of the lease,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"John Best, SPHR, SHRM-SCP, Vice President, Human Resources",(516) 870-1684,,2017-0052,6039
"FedEx Corporate Services. Inc.68 South Service Road, Suite 340Melville, NY 11747",Multinational courier delivery services company,Suffolk | WDB Name: SUFFOLK | Region:Long Island,61,61,9/15/2017,"Some employees will be displaced on December 31, 2017 and the remaining employees will be displaced on May 31, 2018.",5/31/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Kristie Castilow, HR Advisor",(901) 850-3873,,2017-0051,6038
"Greenwich Associates 2875 Union Road, Unit #9 Buffalo, NY 14227",Provider of market intelligence and advisory services,Buffalo | WDB Name:ERIE | Region:Western Region,149,149,9/13/2017,"The expected separations are expected to begin October 28, 2017 with the plant closing expected to be completed by November 11, 2017.",11/11/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Karen Bell, Vice President, Human Resources",(416) 496-7146,,2017-0050,6037
"Eastman Kodak Company  (Kodak Research Labs) 1999 Lake Avenue Rochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name: MONROE | Region: Finger Lakes Region,-----,1,9/7/2017,12/5/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,,2017-0049,6036
"DynaServ Industries, Inc.5830 64th StreetMaspeth, NY 11378",Specialized Services,Queens | WDB Name: NEW YORK CITY | Region:New York City,122,114,9/11/2017,"All employee separations are expected to occur during the 14-day period starting on December 11, 2017.",-----,Loss of client contract,Plant Layoff,Plant Layoff,IBEW Local 3,"Noemi Diaz, Human Resources Manager",(718) 416-0252 Ext: 6010,,2017-0048,6035
"Executive Jet Management 38 Loop Road White Plains, NY 10604",Repair station and Line services for aircrafts,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson  Region,54,32,12/6/2016Amemded: 9/8/2017,,11/19/2017,Economic,Plant Closing,Plant Closing,The affected  workers are not represented by a Union.,"Linda Blessing, Vice President Human Resources",(513) 979-6019,,2016-0099,6033
"Michael Cetta Inc. d/b/a Sparks Steak House210 East 46th StreetNew York, NY 10017",Restaurant,New York | WIB Name:NEW YORK CITY | Region:New York City,87,0,5/26/2017 Rescission: 9/7/2017,,8/31/2017,Possible non-renewal of lease.,Possible Plant Closing,Possible Plant Closing,UFCW Local 342,Steven Cetta,(212) 687-4806,,2016-0261,6032
"Knickerbocker Partition Corp. 193 Hanse Avenue Freeport, NY 11520",Manufactures and distributes toilet compartments & partitions.,Nassau | WDB Name: HEMPSTEAD | Region:Long Island,58,58,9/6/2017,12/8/2017,12/8/2017,Sale of Business,Plant Closing,Plant Closing,"UFCW Local 312, affiliated with United Food and Commercial Workers International Union Local Union No. 28 Sheet Metal, Air, Rail and Transportation","Andrew Kennedy, Controller/Treasurer",(516) 546-0550,,2017-0047,6031
"Sodexo, Inc. @ EF Education First100 Marymount AvenueTarrytown, NY 10591",Facilites Management,Westchester | WDB Name:WESTCH/PTNM | Region:Mid-Hudson Region,57,57,9/5/2017,"Separations will occur on or about October 31, 2017. Management separations will occur on or about November 28, 2017.",10/31/2017,Contract loss,Plant Closing,Plant Closing,Teamsters Local 810,"Curtis Stancil SPHR, SHRM-SCP, HR Business Partner",(860) 546-6547,,2017-0046,6030
"Opinion Access Corp.47-10 32nd PlaceLong Island City, NY 11101","Provides data collection, tabulating, coding, data entry and printing services",Queens | WDB Name:NEW YORK CITY | Region:New York City,460,460,9/5/2017,"The expected date of the first employee separation is December 10, 2017. The plant will close entirely on December 17, 2017.",12/17/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Jim Hoffman, President",(718) 729-2404,,2017-0045,6029
"Technical Career Institute(TCI College of Technology)320 West 31st StreetNew York, NY10001",Educational services,New York | WDB Name:NEW YORK CITY | Region:New York City,211,211,9/1/2017,9/1/2017,9/1/2017,Economic,Plant Closing,Plant Closing,"T.O.P. Local 2110 UAWAFL-CIO, Local 2110","Shirley Erve, HR Payroll Director",(917) 687-3757,,2017-0043,6028
"2171 West Side Supermarket, Ltd. (Westside Market)2171 BroadwayNew York, NY10024",Supermarket food services,New York | WDB Name:NEW YORK CITY | Region:New York City,69,69,9/1/2017,11/30/2017,11/30/2017,Lease expiration,Possible Plant Closing,Possible Plant Closing,"Local 338, Retail, Wholesale and Department Store Union, United Food and Commercial Workers (RWDSU/UFCW)","Peter Zoitas, Human Resources",(212) 580-1808,,2017-0044,6027
"McCarthy Tire Service Company of New York, Inc.9384 Main StreetDansville, NY14437",Tire Services,Livingston | WDB Name:GLOW | Region:Finger Lakes Region,33,33,8/31/2017,12/2/2017,12/2/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Mike Toole, Corporate Liaison",(570) 270-8269,,2017-0042,6026
"Cascades Containerboard Packaging - New York City, a division of Cascades Holding US Inc.55-15 Grand AvenueMaspeth, NY 11378",Containerboard Packaging,Queens | WDB Name:NEW YORK CITY | Region:New York City,148,148,8/29/2017,"Separations will occur within the 14-day period commencing on November 27, 2017 and close no later than December 31, 2018. Layoffs will be progressive from 12 to 18 months.",12/31/2018,Economic,Plant Closing,Plant Closing,,"Satthia Gauthier, Human Resources",(718) 340-2130,,2017-0041,6025
"TGIFriday's Restaurant (Union Square Operating Inc.) 34 Union Square East New York, NY 10003",Restaurant,New York | WDB Name:NEW YORK CITY | Region:New York City,33,33,8/25/2017,"Separations will occur on December 3, 2017 or during the fourteen-day period that begins on that date.",12/3/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Ms. Ann Martinez, CFO",(212) 560-1658,,2017-0040,6023
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and Supplies,Monroe | WDB Name:MONROE | Region:Finger Lakes Region,-----,1 (remote worker),8/18/2017,11/16/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,,2017-0039,6022
"Lutech Resources, LLC  (Fitzpatrick Nuclear Station) 268 Lake Road Oswego, NY13126",Provides recruitment and integrated resource management.,Oswego | WDB Name:OSWEGO | Region:Central Region County:Wayne | WDB Name:FINGER LAKES | Region:Finger Lakes Region,195 (total afftected workers at 3 sites),93,8/16/2017,"The layoffs will begin effective August 18, 2017 and will be completed by August 31, 2017.",8/30/2017,Contract cancelled by Aptim Services LLC,Plant Layoff,Plant Layoff,International Brotherhood of Electrical Workers Local 97,"Timothy Morgan, Lutech Director of Operations",(832) 513-2883,,2017-0036,6021
"Arroway Chevrolet, Inc. 175 N. Bedford Road Mount Kisco, NY10549",Car dealership,Westchester | WDB Name:WESTCH/PTNM | Region:Mid-Hudson Region,80,80,8/4/2017,11/7/2017,11/7/2017,Sale of business,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Louis J. Roberti, President",(914) 232-7733,,2017-0035,6020
"TLC Health Network, Inc./TLC Lake Shore Health Care CenterLong Term Care Unit & Medical Surgical Unit845 Routes 5&20 (Main Road)Irving, NY 14081",Long-Term Care Unit and Medical Surgical Unit,Chautauqua | WDB Name: CHAUTAUQUA | Region:Western Region,38,38,8/21/2017,"Separations of employees are expected to commence on November 17 - November 30th, 2017 and will result in the permanent closure of the entire units.",11/30/2017,Economic,Plant Unit Closing,Plant Unit Closing,1199 SEIU United Healthcare Workers East,"Shannon Bobseine, Human Resource Director",(716) 951-7037,,2017-0033,6019
"B&H Foto and Electronics Corp. (Navy Yard Facility)63 Flushing Avenue, Bldg. 64Brooklyn, NY 11205",Photo and electronics,Kings | WDB Name:NEW YORK CITY | Region:New York City,245,245,8/21/2017,"Separations will occur between November 19, 2017 and December 2, 2017.",12/2/2017,Relocation to New Jersey.,Plant Closing,Plant Closing,United Steelworkers District 4,"Jacob Mittelman, Vice President of Operations",(212) 239-7500,,2017-0034,6018
"GT Forge, Inc. d/b/a Gett237 West 35th StreetNew York, NY10001",A global ridesharing app,New York | WDB Name: NEW YORK CITY | Region:New York City,1,1,8/21/2017,11/29/2017,8/11/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Lauren Brown, HR Manager",(917) 287-1495,,2017-0031,6017
