Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Event Number,Case_ID
"Marriott International, Inc.(StarLab Operations)417 5th Avenue, 9th FloorNew York, NY 10016",Hospitality Company (StarLab office),New York | WIB Name: NEW YORK CITY | Region: New York City,-----,51,9/30/2016,12/31/2016,-----,Reorganization of operations,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Jennifer Royal, Vice President, Human Resources",(203) 351-3557,2016-0053,5698
"Berry Plastics Corporation3565 Chadwick DriveDunkirk, NY 14048",Plastic packaging and protection products,Chautauqua | WIB Name: CHAUTAUQUA| Region: Western Region,54,54,7/12/2016Amended: 10/3/2016,Layoffs to occur on 10/31/2016 with a few employees being retained until November.,10/31/2016,Transfer of manufacturing operations,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Janet Szymanski, Human Resources Manager",(716) 363-8704,2016-0004,5697
"The Clinton Foundation 1271 Avenue of the Americas, 42nd Floor New York, NY 10020",Social Advocacy Organization - Clinton Global  Initiative,New York | WIB Name: NEW YORK CITY | Region: New York  City,-----,74,9/29/2016,12/31/2016,-----,Discontinutation of the Clinton Global  Initative.,Plant Layoff,Plant Layoff,"The affected employees are not represented by a union, and there are no bumping rights.",Veronika Shiroka,(646) 775-9184,2016-0052,5695
"Buflovak LLC750 East Ferry StreetBuffalo, NY 14211",Design and Manufacture of Process Equipment,Erie | WIB Name: ERIE | Region: Western Region,53,53,6/17/2016  Amended: 9/26/2016,To occur between 9/15/2016 and 9/30/2016.,9/30/2016,Sale of company,Plant Closing,Plant Closing,"International Association of Machinists and Aerospace Workers AFL-CIO, Affiliate Lodge #330",Duncan Hemink,(716) 895-2100 Ext 133,2015-0385,5694
"Oscar Insurance Corporation 295 LaFayette Street, 6th FloorNew York, NY 10012",Insurance Agency & Brokerage,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,31 (Member Services Team),9/29/2016,12/31/2016 or within 14 days thereafter.,-----,"Member Services Team transition to the “Care Team” model and transition to Tempe, Arizona.",Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Bruce Gottlieb, General Counsel",(646) 783-9759,2016-0051,5693
"Dex Media6215 Sheridan Drive, Suite 200Williamsville, NY 14221",Digital Marketing Services,Erie | WIB Name: ERIE | Region: Western Region,57,57,9/29/2016,12/27/2016,12/27/2016,Economic,Plant Closing,Plant Closing,"Communications Workers of America, Local 1122","John S. Hancheck, Senior Human Resources Business Partner",(609) 234-0598,2016-0050,5692
"Amertex Textile Services, Inc.231 Rider AvenueBronx, NY 10451",Laundry Service,Bronx | WIB Name: NEW YORK CITY | Region: New York City,58,58,5/8/2015 Amended: 9/27/2016,Layoffs postponed from 8/7/2015 to 11/16/2016. Some employees will remain until 11/30/2016 to wind down operations.,11/30/2016,Economic,Plant Closing,Plant Closing,Laundry Distribution and Food Service Joint Board,"Michael Newby, President",(718) 665-2225,,5691
"Hebrew Hospital Senior Housing Inc. d/b/a Westhester Meadows55 Grasslands RoadValhalla, NY 10595",Continuing Care Retirement Community,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,89,89,8/4/2016Amended: 9/23/2016,It is anticipated the separation of employees will occur during a 14-day period between 10/28/2016 and 11/10/2016.,11/10/2016,"Chapter 11 – Sale to The Bethel Methodist Home, Inc.",Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"Mary Frances Barrett, Chief Executive Officer",(914) 989-7800,2016-0023,5690
"GL Bus Lines, Inc.77 8th AvenueNew York, NY 10036",Tour Bus Service,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,82,9/15/2016,12/14/2016,-----,Plant Layoff,Plant Layoff,Plant Layoff,"Transport Workers Union of America, Local 225",James T. Murphy,(212) 235-5888,2016-0048,5689
"Sleepy's, LLC Finance & Accounting Unit1000 South Oyster Bay RoadHicksville, NY 11801",Mattress Retailer (Finance & Accounting Unit),Nassau | WIB Name: OYSTER BAY | Region: Long Island,-----,28,9/22/2016,12/31/2016 or during 14-day period thereafter (27); 4/15/2017 or during 14-day period thereafter (1),4/15/2017,Restructuring Operations,Plant Unit Closing,Plant Unit Closing,There is no union representing the affected employees.,"Erika Brosnan, Human Resources Business Partner",(516) 861-7384,2016-0047,5688
"Guardian News & Media, LLC222 Broadway, 22nd FloorNew York, NY 10038",On-line News & Media,New York | WIB Name: NEW YORK CITY | Region: New York City,124,12,9/16/2016,9/16/2016,-----,Economic,Plant Layoff,Plant Layoff,News Media Guild (the affected workers in this action are not represented by a union),Dave Searle,(917) 900-4673,2016-0046,5687
"HMS HostJFK International Airport, Terminal 7Jamaica, NY 11430",Food Concession,Queens | WIB Name: NEW YORK CITY | Region: New York City,134,0,3/4/2016 Notice Rescinded: 9/8/2016,4/30/2016,4/30/2016,Loss of Contract for Concessionaire Sublease agreement,Plant Closing,Plant Closing,Bumping rights are not specific to this particular situation.,"Donald Miehl, Director of Operations",(718) 679-0452,,5684
"Catholic Charities Neighborhood Services, Inc. (Behavioral Health Care  Coordination DOHMH Program) 25 Chapel Street, Suite 901 Brooklyn, NY 11201",Behavioral Health Care Coordination DOHMH Program,Kings | WIB Name: NEW YORK CITY | Region: New York  City,-----,1,9/16/2016,12/16/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Jacqueline Gibbons, Senior Vice President of Human  Resources",(718) 722-6181,2016-0044,5683
"PHH Mortgage Corporation 1760 Wehrle Drive Williamsville, NY 14221",Real Estate Credit,Erie | WIB Name: ERIE | Region: Western Region,294,91,9/15/2016,Layoffs  will begin on 12/31/2016 or within 14-days  thereafter.,-----,Reduction in loan originations,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Terence P. Zirnheld, Director, HR Business  Partner",(856) 917-3312,2016-0043,5682
"Jewish Home LifecareHarry and Jeanette Weinberg Campus100 West Kingsbridge RoadBronx, NY 10468",Skilled nursing home care facility,Bronx/New York | WIB Name: NEW YORK CITY| Region: New York City,889,889,2/22/2016 Amended: 9/12/2016,To commence during the 14-day period starting on 9/12/2016.,9/25/2016,"Sale of business to TCPRNC, LLC (The Plaza)",Plant Closing,Plant Closing,"1199 SEIU, United Healthcare Workers, East, New York State Nurses Association","Audrey R. Wathen, Senior Vice President, Human Resources",(212) 870-4956,,5681
"Esplanade of White Plains Venture Partnership d/b/a The Esplanade 95 South BroadwayWhite Plains, NY 10601",Senior Residences,Westchester | WIB Name: WESTCH/PTNM| Region: Mid-Hudson Region,65,65,4/15/2016 Amended: 9/9/2016,14-day period beginning on 7/14/2016 (1 layoff extended from 14-day period starting on 8/28/2016 to 14-day period commencing on 12/31/2016).,TBD,Multi year overhaul of building,Plant Closing,Plant Closing,UNITE HERE Local 100,"Joseph Kaufman, Controller",(914) 761-8100 ext 7124,,5680
"Veeco Instruments Inc.1600 Enterprise DriveKingston, NY 12401",Semi-conductor Machinery Manufacturing,Ulster | WIB Name: ULSTER | Region: Mid-Hudson Region Dutchess | WIB Name: DUTCHESS | Region: Mid-Hudson Region,18,18,9/9/2016,12/31/2016 (5); 3/31/2017 (13),3/31/2017,Relocation of operations,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Morolake Esi, Director, Human Resources",(732) 560-5300 ext. 4142,2016-0041,5679
"Aeropostale, Inc.Headquarters112 W. 34th Street, 22nd FloorNew York, NY 10120",Headquarters/Corporate offices,New York | WIB Name: NEW YORK CITY | Region: New York City,228 (both sites),198,9/8/2016,Expected separations to occur between 12/8/2016 and 12/21/2016.,-----,Chapter 11 Bankruptcy – sale of company,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Robin Sepe, Senior Vice President – Human Resources",(646) 485-5427,2016-0039,5678
"Seneca Mortgage Servicing LLC611 Jamison RoadElma, NY 14059",Mortgage servicing,Erie | WIB Name: ERIE | Region: Western Region,267,2,9/8/2016,12/6/2016,-----,Sale of mortgage servicing operations to Nationstar Mortgage Holdings Inc.,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union.,"Patricia Folts, Human Resources",(716) 204-3628,2016-0038,5677
"American Capital, Ltd.505 Fifth AvenueNew York, NY 10017",Asset management and private equity firm,New York | WIB Name: NEW YORK CITY | Region: New York City,53,53,8/31/2016,"Layoffs will commence on 12/1/2016, or the 14-day period commencing that date.",12/14/2016,Merger,Plant Closing,Plant Closing,None of the affected workers are represented by a union.,"Dana M. Smith, Chief Human Resources Officer",(301) 841-1371,2016-0037,5676
"Allegion 415 Concord Avenue Bronx, NY 10455",Lock Manufacturer,Bronx |  WIB Name: NEW YORK CITY | Region: New York City,58,58,9/1/2016,Separations will begin on 12/13/2016 and run through  2/10/2017.,2/10/2017,"Consolidation of operations to  Indianapolis, Indiana",Plant Closing,Plant Closing,Affected workers are not represented by a union.,"Mairin  Priestley, Director, Allegion Operating System",(317) 810-3856,2016-0036,5675
"Bliss, LLC Corporate Headquarters 200 Vesey Street, 25th Floor New York, NY 10281",Corporate Headquarters - Health Spa,New York | WIB Name: NEW YORK CITY | Region: New York  City,33,33,8/31/2016,Layoffs will begin on 12/1/2016 and separations will run through 3/31/2017.,12/31/2016,Economic,Plant Closing,Plant Closing,Affected workers are not represented by a union.,"Christina  Sullivan, Senior Director, Corporate HR",(305) 358-9002 ext. 1333,2016-0033,5674
"Sears, Roebuck and Co.283 Platinum AvenueStaten Island, NY 10314",Retail Department Store,Richmond | WIB Name: NEW YORK CITY | Region: New York City,-----,44,8/17/2016,Separations are expected to occur during the 14-day period commencing on 11/16/2016.,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"James Suber, Regional Resources Director",(847) 286-2500,2016-0035,5673
"Lufkin Industries LLC, a part of GE Oil & Gas2475 Tarantine BoulevardWellsville, NY 14895",Ball and Roller Bearing Manufacturer,Allegany | WIB Name: ALL/CAT | Region: Western Region,54,54,8/31/2016,Layoffs will begin on12/2/2016 and continue through 12/16/2016.,12/16/2016,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Rhonda Buck, Employee Human Resource Manager",(585) 296-3112,2016-0034,5672
"Jewish Home LifecareHarry and Jeanette Weinberg Campus100 West Kingsbridge RoadBronx, NY 10468",Skilled nursing home care facility,Bronx/New York | WIB Name: NEW YORK CITY | Region: New York City,845,845,2/22/2016 Amended: 8/26/2016,To commence during the 14-day period starting on 8/29/2016,8/29/2016,"Sale of business to TCPRNC, LLC (The Plaza)",Plant Closing,Plant Closing,"1199 SEIU, United Healthcare Workers, East, New York State Nurses Association","Audrey R. Wathen, Senior Vice President, Human Resources",(212) 870-4956,,5671
"Dowling College - Oakdale Campus150 Idle Hour BlvdOakdale, NY 11769",College,Suffolk | WIB Name: SUFFOLK| Region: Long Island,412,412,6/3/2016Amended: 8/24/2016,6/1/2016 - 1 employee layoff extended to 8/11/2016.,6/1/2016,Economic,Plant Closing,Plant Closing,"Locals 30, 106, 153; NYSUT; Office & Professional Employees International Union, Local 153; IUOE Local 30; IAMAW Local 434; Dowling Adjunct Faculty Union; Dowling Full-Time Faculty Union","Anne Dimola, Executive Director of Human Resources",(631) 244-3020,2015-0362,5670
"Phoenix House Foundation, Inc. and Phoenix Houses of New York, Inc.42-50 Jay StreetBrooklyn, NY 11201",Drug Rehabilitation - Clinical Unit,Kings | WIB Name: NEW YORK CITY | Region: New York City,109,42,8/26/2016,11/25/2016,11/25/2016,Operational Changes,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,"Mark G. White, VP Director of Human Resources",(718) 222-6649,2016-0032,5669
"Teva Pharmaceuticals USA, Inc.223 Quaker RoadPomona, NY 10970",Pharmaceuticals Manufacturer,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,236,236,8/25/2016,Layoffs will commence on 8/25/2016 and continue at the date of the plant closing.,2/28/2017,Economic,Plant Closing,Plant Closing,"United Steel, Paper & Forestry Rubber, Manufacturing Energy, Allied Industrial and Service Workers International Union, District 4",Courtney Mazzola,(201) 930-2154,2016-0031,5668
"NRG Energy, Inc.Huntley Generating Station3500 River RoadTonawanda, NY14150",Power Plant,Erie | WIB Name: ERIE | Region: Western Region,72,72,12/18/2015  Amended: 8/19/2016,to occur between 3/31/2016 and 10/31/2016,10/31/2016,Economic,Plant Closing,Plant Closing,International Brotherhood of Electrical Workers - Local Union 97,"Tammy Hall, Human Resources Manager",(716) 560-3451,,5667
"NRG Energy, Inc.Dunkirk Power Plant106 Point Drive NorthDunkirk, NY14048",Power Plant,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,64,64,11/18/2015 Amended: 8/19/2016,to occur between 2/22/2016 and 9/23/2016,9/23/2016,Economic,Plant Closing,Plant Closing,International Brotherhood of Electrical Workers - Local Union 97,"Tammy Hall, Human Resources Manager",(716) 560-3451,,5666
"Culinary Concepts Hospitality Group, LLC (Spice Market NY, LLC)403 W. 13th StreetNew York, NY 10014",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,221,221,8/22/2016,Layoffs will occur on 9/29/2016; 9/30/2016; 10/31/2016; and 12/31/2016.,9/30/2016,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Jennifer Royal, Vice President, Human Resources",(203) 351-3557,2016-0030,5664
"Goldman, Sachs & Co. 200 West Street New York, NY10282",Investment Brokerage/Dealer,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,15,8/19/2016,Terminations will take place between 10/3/2016and 12/29/2016.,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Gena Palumbo, Managing Director & Associate General Counsel",(212) 357-2191,2016-0029,5663
"Visium Asset Management LP 888 Seventh Avenue, 22nd Floor New York, NY10019",Financial Services,New York | WIB Name: NEW YORK CITY | Region: New York City,110,2,8/18/2016,The expected date of the first separation of employees is 11/16/2016 and is  expected to continue for a few months.,-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Mark Gottlieb, Chief Administrative Officer",(212) 484-2711,2016-0027,5661
"Bevolution Group 168 Railroad Street Huntington Station, NY11746","Manufacturer of shelf-stable and frozen beverage products, and cocktail mixes.",Suffolk | WIB Name: SUFFOLK | Region: Long Island,48,48,8/16/2016,11/18/2016,12/30/2016,Consolidation of production processes,Plant Closing,Plant Closing,None of the affected workers are represented by a collective bargaining agent.,"Andrea Jackson, Vice President Human Resources",(773) 823-9836,2016-0028,5660
"Eastman Kodak Company (Kodak  Research Labs) 1999 Lake Avenue Rochester, NY 14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,8/1/2016,10/29/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2016-0026,5659
"Best Buy (Store #1069)345 Rockaway TurnpikeLawrence, NY 11559",Electronics Store,Nassau | WIB Name: HEMPSTEAD | Region: Long Island,60,60,8/15/2016,11/12/2016,11/12/2016,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Juan Vasquez, Market Human Resources Manager",(516) 832-3014,2016-0049,5658
"Visium Asset Management LP888 Seventh Avenue, 22nd FloorNew York, NY 10019",Financial Services,New York | WIB Name: NEW YORK CITY | Region: New York City,110,3,8/11/2016,The expected date of the first separation of employees is 11/9/2016 and is anticipated to continue for a few months.,-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Mark Gottlieb, Chief Administrative Officer",(212) 484-2711,2016-0025,5657
"Dowling College - Oakdale Campus150 Idle Hour BlvdOakdale, NY 11769",College,Suffolk | WIB Name: SUFFOLK | Region: Long Island,412,412,6/3/2016 Amended:8/5/2016,6/1/2016 - 3 employee layoffs extended to 8/5/2016.,6/1/2016,Economic,Plant Closing,Plant Closing,"Locals 30, 106, 153; NYSUT; Office & Professional Employees International Union, Local 153; IUOE Local 30; IAMAW Local 434; Dowling Adjunct Faculty Union; Dowling Full-Time Faculty Union","Anne Dimola, Executive Director of Human Resources",(631) 244-3020,2015-0362,5656
"Ruge's Automotive, Inc.7293 S. BroadwayRed Hook, NY 12571",Automotive Parts & Accessories Store,Dutchess | WIB Name: DUTCHESS | Region: Mid-Hudson Region,40,40,8/3/2016,11/3/2016,11/3/2016,Economic,Plant Closing,Plant Closing,None of the affected workers are represented by a union.,"Scott Hutchins, Vice President",(845) 876-1057,2016-0024,5655
"Hebrew Hospital Senior Housing Inc. d/b/a Westhester Meadows55 Grasslands RoadValhalla, NY 10595",Continuing Care Retirement Community,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,89,89,8/4/2016,9/30/2016,9/30/2016,Chapter 11 - Possible Sale,Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"James Fasolino, Director of Finance",(914) 989-8934,2016-0023,5654
"U.S. Security Associates, Inc. (@North Shore Long Island Jewish Hospital (NSLIJ) sites) 550 West Old Country RoadHicksville, NY 11801",Security Services,Nassau | WIB Name: OYSTER BAY | Region: Long Island,-----,97,8/5/2016,9/1/2016,-----,Termination of service contract with NSLIJ,Plant Layoff,Plant Layoff,Allied International Union,"Marlyn McDonald, Office Manager",(516) 822-3800 ext. 102,2016-0022,5652
"Shiel Holdings, LLC (Shiel Medical Laboratory, a division of Fresenius Medical Care, NA) Brooklyn Navy Yard, Building 292, 63 Flushing Avenue Brooklyn, NY11205",Medical Laboratory,Kings | WIB Name: NEW YORK CITY | Region: New York City,-----,174,7/21/2016 Amended:8/5/2016,10/21/2016 (134); 11/18/2016 (40),-----,"Relocation of certain operations to Rockleigh, New Jersey",Plant Layoff,Plant Layoff,There are no unions representing the affected employees.,"Sheryl Morgan, Director, Human Resources",(201) 767-7070 ext. 5845,2016-0012,5650
"Quantum Medical Imaging, LLC, a subsidiary of Carestream Health, Inc. 2002 Orville Drive North Ronkonkoma, NY11779",Surgical & Medical Instrument Manufacturing,Suffolk | WIB Name: SUFFOLK| Region: Long Island,83,83,4/20/2016  Amended:8/5/2016,Layoffs will occur between 7/29/2016 and 11/11/2016.,11/11/2016,Transfer of certain Manufacturing operations to a different Carestream  Health facility.,Closing,Plant Closing,The affected employees are not represented by a union or other employee representative.,"Laurel Yartz, Human Resources Director",(585) 627-8293,2015-0307,5649
,Financial Services,New York | WIB Name: NEW YORK CITY | Region: New York City,110,3,8/4/2016,The expected date of the first separation of employees is 11/1/2016 and is expected to continue for a few months.,-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Mark Gottlieb, Chief Administrative Officer",(212) 484-2711,2016-0021,5648
,Dairy Plant,Queens | WIB Name: NEW YORK CITY | Region: New York City,273,273,8/1/2016,Employees will be separated during the 14-day period beginning on 10/30/2016.,11/13/2016,Economic,Plant Closing,Plant Closing,"Local 553, Intrernational Brotherhood of Teamsters",Jay Valentine,(718) 526-3442,2016-0020,5647
,Global mission agency of The United Methodist Church,New York | WIB Name: NEW YORK CITY | Region: New York City,65,65,8/1/2016,11/4/2016,11/4/2016,"Relocation of operations and headquarters to Atlanta, Georgia",Plant Closing,Plant Closing,Staff Association of the General Board of Ministries,"Maureen Cleary, Director of Learning & Leadership Development",(212) 870-3663,2016-0019,5646
,Information Technology,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,4,7/25/2016,11/10/2016 (1); 2/17/2017 (1); 4/14/2017 (2),-----,Relocate and/or outsource some Information Technology operations,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Donald P. Vandegrift, Jr.",(212) 576-6598,2016-0017,5645
"Visium Asset Management LP 888 Seventh Avenue, 22nd Floor New York, NY 10019",Financial Services,New York  | WIB Name: NEW YORK CITY | Region: New York City,110,24,7/29/2016,The expected date of the first separation of  employees is 10/26/2016 and is expected to continue for a few months.,-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Mark Gottlieb,  Chief Administrative Officer",(212) 484-2711,2016-0016,5644
,Dialysis clinic,New York | WIB Name: NEW YORK CITY | Region: New York City,26,26,7/25/2016,Layoffs will occur on 10/17/2016 and 14-day period thereafter.,10/31/2016,Economic,Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"Courtney Gordon, Dirictor of Operations - Metro NY Area",(516) 741-2860 ext. 213,2016-0015,5643
"The Chemours Company 3181 Buffalo Avenue Niagara Falls, NY14303",Sodium/Lithium Manufacturing facility,Niagara | WIB Name: NIAGARA | Region: Western Region,145,145,7/25/2016,The first wave is 10/31/2016; the second wave for layoffs is 12/31/2016 and then  subsequently thereafter.,TBD,Economic,Plant Closing,Plant Closing,USW Local 4-5025,"Dianne Vespucci, Human Resources Manager",(716)278-5502,2016-0014,5642
,Medical Laboratory,Kings | WIB Name: NEW YORK CITY | Region: New York City,-----,165,7/21/2016,10/21/2016 (161); 11/18/2016 (4),-----,"Relocation of certain operations to Rockleigh, New Jersey",Plant Layoff,Plant Layoff,There are no unions representing the affected employees.,"Sheryl Morgan, Director, Human Resources",(201) 767-7070 ext. 5845,2016-0012,5640
,Mortgage servicing,Erie | WIB Name: ERIE | Region: Western Region,267,43,7/29/2016,10/31/2016,-----,Sale of Mortgage Servicing operations to Nationstar Mortgage Holdings Inc.,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union.,"Patricia Folts, Human Resources",(716) 204-3628,2016-0013,5639
"Esplanade of White Plains Venture Partnership  d/b/a The Esplanade 95 South Broadway White Plains, NY 10601",Senior Residences,Westchester | WIB Name: WESTCH/PTNM| Region: Mid-Hudson  Region,65,65,4/15/2016Amended:7/27/2016,14-day  period beginning on 7/14/2016(5  layoffs extended from 14-day period beginning on 7/14/2016 to 8/28/2016; 4 layoffs to occur on 10/25/2016).,TBD,Multi year overhaul of building,Plant Closing,Plant Closing,UNITE HERE Local 100,"Joseph Kaufman, Controller",(914) 761-8100 ext 7124,,5638
,Circus Ring Show,Kings | WIB Name: NEW YORK CITY | Region: New York City,-----,17,7/20/2016,7/22/2016,-----,Insufficient Funding,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union.,"Will Maitland Weiss, Executive Director",(646) 616-6834,2016-0011,5637
,Universal Survey Call Center,New York | WIB Name: NEW YORK CITY | Region: New York City,508,508,7/25/2016,10/23/2016,10/23/2016,Sale of the call center,Plant Closing,Plant Closing,The affected employees are not represented by a union.,"Randi Perry, Human Resources Director",(646) 616-9141,2016-0010,5636
"Trusted Media Brands, Inc. (Studio Fun International US Operations) 44 South Broadway, 7th  Floor White Plains, NY 10601",Media and direct marketing,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson  Region,31,31,7/21/2016,Commencing on 10/21/2016,TBD,Economic,Plant Closing,Plant Closing,The affected employees  are not represented by any union.,Heather  Schwartz,(914) 244-5334,2016-0008,5635
"Sears Holdings Management Corporation - Units 58491 & 38459 75 Varick Street, 8th Floor New York, NY10013",Department Stores,New York | WIB Name: NEW YORK CITY | Region: New York City,154,154,4/18/2016 Amended:7/15/2016,7/18/2016 (certain employment separations postponed to 7/31/2016 (3); 8/15/2016 (4); 8/31/2016 (15); and 14-day period commencing on 10/14/2016 (7).,7/31/2016,Economic,Plant Closing,Plant Closing,The affected employees at this location are not represented by a union.,"Robert Weber, VP, Human Resources",(847) 286-2500,2015-0306,5634
"Jewish Home Lifecare Harry and Jeanette Weinberg Campus 100 West Kingsbridge Road Bronx, NY10468",Skilled nursing home care facility,Bronx/New York | WIB Name: NEW YORK CITY| Region: New York City,900,900,2/22/2016 Amended:7/22/2016,To commence during the 14-day period starting on 8/15/2016,7/15/2016,"Sale of business to TCPRNC, LLC (The Plaza)",Plant Closing,Plant Closing,"1199 SEIU, United Healthcare Workers, East, New York State Nurses Association","Audrey R. Wathen, Senior Vice President, Human Resources",(212) 870-4956,,5633
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,7/19/2016,10/16/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2016-0009,5632
"Dowling College - Oakdale  Campus 150 Idle Hour Blvd Oakdale, NY 11769",College,Suffolk | WIB Name: SUFFOLK| Region: Long Island,412,412,6/3/2016,6/1/2016- 2 employee layoffs extended to 7/11/2016; 1 employee  layoff extended to 7/12/2016.,6/1/2016,Economic,Plant Closing,Plant  Closing,"Locals 30, 106, 153; NYSUT; Office & Professional Employees  International Union, Local 153; IUOE Local 30; IAMAW Local 434; Dowling Adjunct  Faculty Union; Dowling Full-Time Faculty Union","Anne Dimola,  Executive Director of Human Resources",(631) 244-3020,2015-0362,5631
,Home Care services,New York | WIB Name: NEW YORK CITY | Region: New York City,87,87,7/19/2016,10/13/2016 or within 14 days thereafter.,11/13/2016,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Lucia Cameron, Vice President of Human Resources",(212) 337-5744,2016-0007,5630
,Surgical & Medical Instrument Manufacturing,Suffolk | WIB Name: SUFFOLK | Region: Long Island,83,83,4/20/2016  Amended: 7/18/2016,7/29/2016 (10 employees’ layoff dates extended from the period 7/31/2016 – 8/14/2016 to,11/11/2016,Transfer of certain Manufacturing operations to a different Carestream Health facility.,Closing,Plant Closing,The affected employees are not represented by a union or other employee representative.,"Laurel Yartz, Human Resources Director",(585) 627-8293,2015-0307,5629
"Visium Asset Management LP 888 Seventh Avenue, 22nd  Floor New York, NY10019",Financial Services,New York | WIB Name: NEW YORK CITY | Region: New York  City,110,33,7/15/2016,The expected date of the first separation of employees is 10/13/2016 and is  expected to continue for a few months.,-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Mark Gottlieb, Chief Administrative Officer",(212) 484-2711,2016-0006,5628
,Sporting Goods Store,Queens | WIB Name: NEW YORK CITY | Region: New York City,68,68,6/23/2016  Amended:7/13/2016,7/18/2016,7/31/2016,Economic,Plant Closing,Plant Closing,There are no unions representing the employees at this facility.,"Tonia Hamilton, Manager HRIS",(720) 475-2495,2015-0389,5626
"Samson Technologies Corp. 45 Gilpin Avenue Hauppauge, NY11788",Audio and Video Equipment Manufacturing,Suffolk | WIB Name: SUFFOLK | Region: Long Island,81,"26 (Warehouse, Quality Control and Product Assembly)Office personnel will be  relocating to Hicksville location.",7/8/2016,10/7/2016,10/7/2016,Closing Warehouse/moving office to Hicksville,Plant Closing,Plant Closing,Non-union,Pat Reilly,(516) 932-6400,2016-0005,5625
"Berry Plastics Corporation3565 Chadwick DriveDunkirk, NY 14048",Plastic packaging and protection products,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,54,54,7/12/2016,to occur between 7/13/2016 and 10/31/2016,10/31/2016,Transfer of manufacturing operations,Plant Closing,Plant Closing,No union involvement.,"Janet Szymanski, Human Resources Manager",(716) 363-8704,2016-0004,5624
"Goldman, Sachs & Co. 200 West Street New York, NY 10282",Investment Brokerage/Dealer,New York | WIB Name: NEW YORK CITY | Region: New York  City,-----,55,7/8/2016,To occur between 8/31/2016 and 12/29/2016 – 4th round  of layoffs.,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights and no unions representing affected employees,"Gena Palumbo, Managing Director & Associate  Genera",(212) 357-2191,2016-0003,5623
"CRT Capital Group LLC 277 Park Avenue New York, NY10022",Financial Services,New York | WIB Name: NEW YORK CITY | Region: New York City,84,84,7/6/2016,"Layoffs of affected employees are taking place from 6/21/2016 to 6/24/2016, or within 14 days following those dates.",6/24/2016,Economic,Plant Closing,Plant Closing,None of the affected employees are represented by union.,"Stacey Denke, Chief Administrative Officer",(203) 569-4569,2016-0002,5622
