Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
,Grocery Store,,42,42,8/16/2010,-----,10/13/2010,Economic,Plant Closing,Plant Closing,"RWDSU Locals: 305, 338, UFCW Locals: 464, 342, 1262, SEIU Local 1199","Christopher McGarry, Senior Vice President, General Counsel",(201) 571-8161,2829
,Apparel production - coveralls,Kings | WIB Name: NEW YORK CITY| Region: New York City,205,157,8/16/2010,8/13/2010,-----,Reduction in orders from military,Plant Layoff,Plant Layoff,Bumping rights do not exist for the employees at this site.,"Leo Santos, Controller",(718) 854-7300 Ext 224,2828
,Transit system,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,5,8/5/2010,10/6/2010,-----,Economic,Plant Layoff,Plant Layoff,TWU,"Brian Semler, Acting Vice President",(347) 643-8320,2823
,Health Plan Administrators,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,3,8/3/2010,11/1/2010,-----,Economic,Plant Layoff,Plant Layoff,"There are no provisions regarding transfer, bumping or reassignment rights to affected employees.","Kathy O'Brien, VP, of Organization Effectiveness",(916) 935-0981,2822
,Transit system,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,275 Station Agents & Station Supervisors,8/4/2010,Postponed layoffs until 8/9/2010,-----,Economic,Plant Layoff,Plant Layoff,"Transportation Workers Union, Amalgamated Transit Union","Judith Pierce, Senior Vice President",(646) 252-5880,2821
,Dairy Product Manufacturer,Oyster Bay | WIB Name: OYSTER BAY | Region: Long Island,-----,15 Temporary Workers,8/4/2010,10/7/2010,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist and employees are not represented by any union.,"Nora DiBartolomeo, Human Resources Director",(516) 932-5756,2820
,Health Plan Administrators,New York | WIB Name: NEW YORK CITY| Region: New York City,50,10,8/3/2010,11/1/2010,-----,Economic,Plant Layoff,Plant Layoff,-----,"Julius Schillinger, Director of Organization Effectiveness",(800) 496-3076,2819
,Marketer of packaged produce,Fulton | WIB Name: FMS | Region: Mohawk Valley Region,104,104,8/3/2010,To occur between 11/1/2010-11/15/2010,11/15/2010,Economic,Plant Closing,Plant Closing,None,Joe Wegener,(650) 589-9445,2818
,Radio Communication Equipment & Systems-Repair,St. Lawrence | WIB Name: ST LAWRENCE | Region: North Country Region,82,82,7/30/2010,Separations will commence on 10/26/2010,1/31/2011,Economic,Plant Closing,Plant Closing,Bumping rights do not exist,"Michael A. Delgado, Director, Office of Compliance Management",(408) 964-3454,2817
,Highlighter and marker manufacturer,Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,-----,20,7/28/2010,,-----,Relocating portions of the business functions to Mexico,Plant Layoff,Plant Layoff,UAW Local 528,"Lydia Mojica, Human Resource Manager",(516) 484-6200 Ext 164,2815
,Commercial Real Estate Sales,New Yor | WIB Name: NEW YORK CITY| Region: New York City,45,45,7/22/2010,-----,9/30/2010,Sale of Company,Potential Plant Closing,Potential Plant Closing,No bumping rights exist.,"Anthony Pratofiorito, Head of Human Resources",(212) 671-6481,2812
,Auto parts manufacturing plant,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,100,7/21/2010,To begin on 10/18/2010,10/31/2010,Economic,Plant Closing,Plant Closing,UAW Local 624,"Tom Albanese, Labor Relations Manager",(315) 432-4094,2810
,Grocery Stores/warehouses,Central Region - Onondaga County,"4,142","4,142",7/21/10 Amended,Extensions in layoff dates occuring see below,-----,Economic,Plant Closing,Plant Closing,UFCW Local 1; IBT Local 294 and IBT Local 317,"Christine McMahon, S.V.P. Human Resources",315-461-2340,2809
,Photographic equipment and Supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,8,7/21/2010,To occur between 9/12/2010 and 9/30/2010,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, US&C Employee Services",(585) 781-1896,2808
,Imaging Systems,Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,31,11,7/20/2010,7/31/2010,-----,Loss of Contract,Plant Layoff,Plant Layoff,There are no bumping rights and none of the employees are represented by a union.,"Joseph Wise, President",(516) 355-0300,2806
,Transit system,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,164,7/16/2010,9/17/2010,-----,Economic,Plant Layoff,Plant Layoff,"District Council 37, AFSCME, AFL-CIO; Communications Workers of America; Transport Workers Union International; District Council 37, Local 2627; District Council 37, Local 1655; Transport Workers Union – Local 100; Organization of Staff Analysts","Brian Semler, Acting VP of Human Resources",(347) 643-8320,2804
,Coastal and Great Lakes Freight Transportation,Erie | WIB Name: ERIE | Region: Western Region,-----,305,7/16/2010,"Employees may be laid off during the period of October 12, 2010 to October 26, 2010",-----,Economic,Conditional Plant Layoff,Conditional Plant Layoff,American Maritime Officers and Seafarers International Union,"Kevin McMonagle, VP of Human Resources & Risk Management",(716) 635-0222 ext. 1341,2803
,Optical Center,Onondaga | WIB Name: ONONDAGA| Region: Central Region,27,27,7/14/2010,"Begins on a 14 day period beginning on 10/13/2010 (5 affected), 12/29/2010 (14 affected), 2/25/2011 (8 affected)",2/25/2011,Economic,Plant Unit Closing,Plant Unit Closing,IUE/SWA Local 81408,"Julie Colavencenzo, Director of Human Resources",(315) 445-7457,2802
,Child & Family Services,Kings | WIB Name: NEW YORK CITY| Region: New York City,44,44,7/14/2010,-----,8/31/2010,Inability to reach an agreement on new lease,Plant Closing,Plant Closing,"AFSCME Local 205, Local 95, CSA 1, DC 1707","Maria DeJesus, Director of Human Resources",(646) 201-4283,2801
,Architectural Manufacturing,Kings | WIB Name: NEW YORK CITY| Region: New York City,270,270,7/13/2010,"6/22/2010 (200 affected), 7/2/2010 (20 affected), remaining 50 affected employees will be experience staggered layoffs until complete closing occurs",Unsure at this time,Economic,Plant Closing,Plant Closing,"NY District Council of Carpenters Union Local 2870, United Service Union Local 377, Local 807 Teamsters, Local 66, Local 28","Hilda De Jesus, Human Resource Manager",(347) 342-3288,2800
,Hospital,New York | WIB Name: NEW YORK CITY| Region: New York City,901 in both Hospital and Diagnostic Center,-----,7/2/2010,-----,7/9/2010,Economic,Plant Closing,Plant Closing,"1199 Service Employees International Union: United Healthcare Workers East, Workers East-Registered Nurses Division, The Committee of Interns and Residents, National Affiliate of Service Employees International Union","Renecia Lowery-Jeter, Director of Human Resources",(212) 423-2363,2799
,Pharmaceutical Laboratory,Putnam | WIB Name: WESTCH/PTNM| Region: Mid-Hudson Region,-----,33,7/7/2010,Layoff will occur within the next 90 days,12/31/2010,Economic,Plant Closing,Plant Closing,There are no bumping rights at this facility. Each of the affected employees is a non-union employee.,"Awilda Gonzalez, Human Resources Manager",(914) 767-2051,2798
,Armed guard services,Orange | WIB Name: ORANGE| Region: Mid-Hudson Region,60,60,7/6/2010,8/15/2010,10/1/2010,Loss of Contract,Plant Closing,Plant Closing,"International Union, Security, Police and Fire Professionals of America Local 444","Dina L. Evans, Senior Director, Human Resources",(703) 822-2062,2796
,Children's services,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,25,7/7/2010,Will begin on 9/30/2010,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights applicable.,"Janet Sellwood, Human Resources Director",(212) 284-4590,2795
,Children's services,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,25,7/7/2010,Will begin on 9/30/2010,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights applicable.,"Janet Sellwood, Human Resources Director",(212) 284-4590,2794
,Food Services,Queens | WIB Name: NEW YORK CITY| Region: New York City,140,140,7/6/2010,-----,8/17/2010,Loss of Contract,Plant Closing,Plant Closing,"Local Union No. 210, International Brotherhood of Teamsters","William Hughston, Director, Human Resources",(800) 999-8989 Ext 3463,2793
,Manufacturer of chimney and vent products for the hearth and HVAC markets.,Albany | WIB Name: CAPITAL DISTRICT | Region: Capital Region,56,56,7/2/2010,9/5/2010,6/19/2010,Sale,Plant Closing,Plant Closing,Affected employees are not represented by any labor organization,"Victor Lambert, Controller, Simpson Dura-Vent Company, Inc., Vacaville, CA",(707) 451-7011,2792
,Pharmaceuticals (R&D),Clinton | WIB Name: C-E-F-H | Region: North Country Region,-----,22,6/30/2010,9/24/2010,9/30/2010,Economic,Plant Closing,Plant Closing,Local 95c ICWU/UFCW,"Kent Eldridge, Director, Human Resources",(518) 846-6322,2791
,Asset Management,Oyster Bay | WIB Name: OYSTER BAY| Region: Long Island,-----,53,7/1/2010,9/30/2010,-----,Economic,Plant Layoff,Plant Layoff,No bumping permitted. The affected employees are not represented by a union.,"Douglas Squasoni, Chief Restructuring Officer",(516) 228-1504,2790
,Pharmaceutical Products,Rockland | WIB Name: ROCKLAND| Region: Mid-Hudson Region,2382,8,7/1/2010,9/24/2010,-----,Company Restucturing,Plant Layoff,Plant Layoff,Bumping rights do not exist with respect to this group of separations.,"Elaine Cunningham, Human Resources Director",(845) 602-2173,2789
,Youth and Family Mediation Services,Queens | WIB Name: NEW YORK CITY | Region: New York City,49 (4 affected in the Youth & Development School Based Programming Division-45 in the Family Services Division),49,6/29/2010,-----,9/30/2010,Contract loss,Plant Unit Closings,Plant Unit Closings,There are no bumping rights in this situation and no affected employee is represented by a labor union.,"Mark Kleiman, Executive Director",(718) 523-6868 Extension 248,2787
,Food Service,Queens | WIB Name: NEW YORK CITY| Region: New York City,141,141,6/28/2010,-----,8/19/2010,Sublease termination,Plant Closing,Plant Closing,"As a result of the permanent closure and termination of the Agreement, bumping rights under the Collective Bargaining Agreement, will not be available to our employees.","Eric Smuchowsky, General Manager",(718) 458-2226,2786
,"Sell warranties for vehicles: cars, motor homes, water craft",Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,-----,1,6/25/2010,,6/30/2010,Relocating operations to Georgia,Plant Closing,Plant Closing,There are no bumping rights at this location.,"Carol E. Vaughn, Vice President of Human Resources",(516) 228-8600 Ext 1179,2784
,TV Show production,New York | WIB Name: NEW YORK CITY| Region: New York City,37,"37 (20 Permanent employees, 17 Temporary Employees)",6/25/2010,-----,9/30/2010,Discontinuation of The Campbell Brown Show,Plant Unit Closing,Plant Unit Closing,"None of the affected employees are represented by a union, and none have any “bumping” rights.","Mary Hutchinson, Director of Human Resources",(212) 275-7715,2783
,Dairy Product Manufacturer,Oyster Bay | WIB Name: OYSTER BAY | Region: Long Island,-----,30,6/24/2010,10/7/2010,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist and no union representation exists for affected employees.,"Nora DiBartolomeo, Human Resources Director",(516) 932-5756,2782
,Business Information Website,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,,6/24/2010,7/2/2010,-----,Economic,Plant Layoff,Plant Layoff,"None of the affected employees are unionized and there are no provisions regarding transfer, bumping, or reassignment rights to affected employees.","Diane Evans, Human Resource Director",(646) 746-6495,2780
,Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,294,294,6/21/2010,Most employees will be released on 6/16. A few employees will remain to wind down the business through 9/14/2010.,6/16/2010,Economic,Plant Closing,Plant Closing,None of the affected employees are represented by a union nor are they entitled to bumping rights pursuant to a collective bargaining agreement.,"Ernie Ritchie, Human Resources Manager",(312) 644-3776,2778
,Manufacture of electrode ground pads,Oneida | WIB: HMO| Region: CENTRAL REGION,-----,69,6/17/2010,"20 layoffs that were scheduled to occur on 6/29/2010 are now being postponed : 12 of the affected will be terminated between 8/13-8/26, 8 of the affected employees will be terminated in the 14 day period following 9/1/2010.",-----,Economic,Plant Layoff,Plant Layoff,Employees are not represented by a union and do not have any bumping rights.,"Karen Hutto, Vice President of Human Resources",(315) 624-3190,2777
,Security Services,Jefferson | WIB Name: JEFF/LEWIS | Region: North Country Region,111,111,6/18/2010,-----,9/30/2010,Economic,Plant Closing,Plant Closing,-----,"Judieth Welch, Director, Human Resources",(301) 918-2860,2776
Tishman Speyer Properties,Property Management,New York | WIB Name: NEW YORK CITY| Region: New York City,154,154,3/5/2010,-----,9/10/2010,Economic,Plant Closing,Plant Closing,Employees will not have bumping rights.,Michael Butler,(212) 715-0381,2775
"Peter Cooper Village and Stuyvesant Town Partners II, LP",Property Management,New York | WIB Name: NEW YORK CITY| Region: New York City,115,115,3/4/2010,-----,9/10/2010,Economic,Plant Closing,Plant Closing,Company employees will not have bumping rights.,Michael Butler,(212) 715-0381,2774
,Transportation,Bronx | WIB Name: NEW YORK CITY | Region: New York City,61,61,6/18/2010,-----,9/19/2010,Economic,Plant Closing,Plant Closing,No bumping rights exist under these circumstances.,Jay Sabin,(732) 499-3338,2773
,Linen and Laundry Services,Saratoga | WIB Name: SAR/WAR/WAS | Region: Capital Region,93,93,6/17/2010,-----,9/16/2010,Economic,Plant Closing,Plant Closing,"Workers United, Laundry, Dry Cleaning & Allied Workers Joint Board",Alan Van Dyke,(678) 823-4102,2771
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,250 at both sites,6/15/2010,"Layoff dates postponed, began on 6/1/2010 and employees will be released on various dates through 12/17/2010",No exact closing date given at this time.,Economic,Plant Closing,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Francesca Tinti, Human Resources",(212) 356-4415,2769
,Customer Service Center,New York | WIB Name: NEW YORK CITY | Region: New York City,225,24,6/15/2010,8/20/2010,-----,Economic,Plant Layoff,Plant Layoff,CWA National Union,"John C. Jefferson, Vice President",(212) 387-4211,2767
,"Sell warranties for vehicles: cars, motor homes, water craft",Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,100,1,6/15/2010,,6/30/2010,Relocating operations to Georgia,Plant Closing,Plant Closing,There are no bumping rights at this location.,"Carol E. Vaughn, Vice President of Human Resources",(516) 228-8600 Ext 1179,2766
,Highlighter and marker manufacturer,Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,-----,16,6/15/2010,,-----,Relocating portions of the business functions to Mexico,Plant Layoff,Plant Layoff,UAW Local 528,"Lydia Mojica, Human Resource Manager",(516) 484-6200 Ext 164,2765
,Life Insurance,Erie | WIB Name: ERIE | Region: Western Region,8,8,6/15/2010,6/30/2010 and 7/16/2010,9/1/2010,Economic,Plant Closing,Plant Closing,Bumping rights do not exist and there is no affiliation with any union.,Judy Elliott-Pugh,(212) 624-0709,2764
,Bank Operations,Suffolk | WIB Name: SUFFOLK | Region: Long Island,-----,29,6/9/2010,"Will begin on or about 9/3/2010 with 7 affected, 22 affected on 12/17/2010",-----,Economic,Plant Layoff,Plant Layoff,Employees are not represented by a union and will not have bumping rights.,"Darrell C Dragon, VP Project Management (Bank)",(631) 548-3207,2763
,Production and Editorial Department,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,173,6/7/2010,will occur between 9/12/2010 and 2/20/2011,-----,Eliminate or relocate certain functions of these departments,Plant Layoff,Plant Layoff,No bumping rights and no union representation for any of the affected employees.,"Debbi Dikan, Vice President of Human Resources",(212) 871-5261,2760
,Nursing/residential care for the elderly,Bronx | WIB Name: NEW YORK CITY| Region: New York City,-----,31 All nursing staff will be terminated. Facility will function solely as a residence.,6/7/2010,9/1/2010,-----,Economic,Plant Layoff,Plant Layoff,None of the laid off employees have bumping rights.,Aislinn S. McGuire,(212) 644-1010,2759
,Transit system,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,25 – Power Cable Maintainer and Transit Electrical Helper Titles,6/7/2010,8/4/2010,-----,Economic,Plant Layoff,Plant Layoff,"Transport Workers Union International ,Transportation Workers Union Local 100","Robert Bergen, Executive Vice President",(646) 252-5888,2758
,Grocery Stores/warehouses,Central Region - Onondaga County,"4,142","4,142",6/7/10 Amended,Extensions in layoff dates occuring see below,02/20/10,Economic,Plant Closing,Plant Closing,UFCW Local 1; IBT Local 294 and IBT Local 317,"Christine McMahon, S.V.P. Human Resources",315-461-2340,2757
,Eyecare,Oyster Bay | WIB Name: OYSTER BAY| Region: Long Island,20,20,6/7/2010,-----,9/1/2010,Economic,Plant Closing,Plant Closing,IUE/CWA Local 81408,Jennifer Griffin,(516) 827-6722,2756
,"Sell warranties for vehicles: cars, motor homes, water craft",Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,-----,2,6/4/2010,,6/30/2010,Relocating operations to Georgia,Plant Closing,Plant Closing,There are no bumping rights at this location.,"Carol E. Vaughn, Vice President of Human Resources",(516) 228-8600 Ext 1179,2754
,Adhesives,Erie | WIB Name: ERIE| Region: Western Region,-----,2,6/4/2010,2 employee layoffs scheduled for 6/30/2010 are now postponed until 8/6/2010,Unsure,Economic,Plant Closing,Plant Closing,"AFL-CIO, CLC Local 36G","Ben Toperoer, Human Resource Manager",(908) 685-5334,2752
,Children's services,Kings | WIB Name: NEW YORK CITY | Region: New York City,-----,4,5/27/2010,8/31/2010,-----,Funding stream cuts,Plant Layoff,Plant Layoff,There are no bumping rights at any of our locations. The affected employees are not represented by any union.,"Joanne Cordaro, Sr. Vice President of Human Resources",(516) 921-0808,2751
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,,6/3/2010  Amended,Layoff dates that were to commence on 4/20/2010-6/15/2010 will be postponed to be released on various dates from 5/28/2010-12/31/2010,No exact closing date given at this time.,Economic,Plant Closing,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Randi Karp, Director of Labor Relations",(212) 356-4415,2750
,Microelectronic Technology,Suffolk | WIB Name: SUFFOLK | Region: Long Island,84,84,6/3/2010,Will Commence on 8/30/2010 and continue through 9/30/2010,9/30/2010,Economic,Plant Closing,Plant Closing,Bumping rights do not exist and no employees are represented by a union.,"Susan Grimm, Human Resources Manager",(631) 981-2400,2749
,School Bus Transportation,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,-----,110,6/2/2010,7/1/2010,------,Loss of contract,Plant Layoff,Plant Layoff,"Transport Workers Union of America, Local 100","John Silvanie, President",(914) 328-1400,2747
,Health & Rehabilitation Center for Older Adults,Oswego | WIB: OSWEGO | Region: CENTRAL REGION,94,94,6/2/2010,-----,6/4/2010-facility will close 91 terminated-3 employees will remain until 6/18/2010,Economic,Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,Kevin Brogan,(315) 413-3284,2746
,"Sell warranties for vehicles: cars, motor homes, water craft",Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,100,"Network Administror, Web Developer, Desktop Support personnel",3/4/2010,,6/30/2010,Relocating operations to Georgia,Plant Closing,Plant Closing,There are no bumping rights at this location.,"Carol E. Vaughn, Vice President of Human Resources",(516) 228-8600 Ext 1179,2745
,Library,Kings | WIB Name: NEW YORK CITY | Region: New York City,------,344,5/27/2010,8/31/2010,-------,Funding Cuts,Potential Plant Layoff,Potential Plant Layoff,Local 1482 of DC 37,"Lawrence Jennings, Director of Human Resources",(718) 230-2155,2744
,Linen services,New York | WIB Name: NEW YORK CITY| Region: New York City,28,28,5/27/2010,-----,8/27/2010,Economic,Plant Closing,Plant Closing,SEIU,"Jim Valeri, Human Resource Manager",(215) 238-3078,2743
,Security Services,New York | WIB Name: NEW YORK CITY | Region: New York City,58,58,5/25/2010,-----,6/4/2010,Loss of contract,Plant Closing,Plant Closing,"SEIU, Local 32 BJ","Jennifer Bazydlo, Employee Relations Specialist",(484)351-1450,2741
,Wagering organization,Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,1450 at all 3 sites,1450,5/24/2010,Will commence on 6/9/2010,6/23/2010,Economic,Plant Closing,Plant Closing,"Carpenters Local 370, FOPE District 1, IBEW Locals: 1430, 236, 25, 3, IUOE Local 30, NC Carp. Local 1921, NY District Council, Plumbers Locals: 1, 200, 773, SWIU Local 32BJ, Steamfitters Local 638, Teamsters Locals: 807, 814, Ticket Sellers Local 751, Unite HERE, Unite HERE (servicing agent for 32BJ)",Bonnie Parente,(718) 659-2229,2740
Sports Publications Production,Publications Production facility,Oyster Bay| WIB: Oyster Bay| Region: LONG ISLAND,66,66 - 24 of the 66 affected,5/24/2010,-----,Layoffs will be postponed until 6/6/2010,Economic,Plant Closing,Plant Closing,"Amalgamated Union Local #1, United Association of Workers of America Local #528, & Graphic Communications conference International Brotherhood of Teamsters Local 51-","Tom Travis, Vice President/Production",(516) 833-1628,2739
,Dairy Product Manufacturer,Oyster Bay | WIB Name: OYSTER BAY | Region: Long Island,-----,43,5/21/2010,9/2/2010,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist and no union representation exists for affected employees.,"Nora DiBartolomeo, Human Resources Director",(516) 932-5756,2738
,Senior Living Center,Oyster Bay | WIB Name: OYSTER BAY | Region: Long Island,37,37,5/20/2010,-----,8/18/2010,Renovation of the site,Temporary Plant Closing,Temporary Plant Closing,No bumping rights available and no union representation for affected employees.,"Wayne Curtin, Vice President of Government Affairs",(502) 779-7664,2737
,Educational Preparation Company,New York | WIB Name: NEW YORK CITY | Region: New York City,111,"25 full-time employees, 86 part-time employees",5/19/2010,-----,8/16/2010,Economic,Plant Unit Closing,Plant Unit Closing,"No union representation. No bumping rights exist among those non-union employees, nor are there any jobs to which those employees may bump.","Sharon Haverlak, Senior Vice President of Human Resources",(570) 961-4811,2735
,Hotel - food and beverage department,New York /WIB: New York City /Region: NEW YORK CITY,-----,30 affected – (2 of the affected will have their layoffs postponed to between 6/4-6/18/2010),5/18/2010 Amended,28 released on 5/15/2010 – 2 released between 6/4-6/18/2010,-----,Economic,Plant Layoff,Plant Layoff,New York Hotel and Motel Trades Council,"Thomas J. Mituzas, Area Director of Human Resources",(212) 621-8596,2734
,Filing Systems,Queens | WIB Name: NEW YORK CITY | Region: New York City,129,129,5/14/2010,To commence between 5/14/2010 and 7/20/2010,7/20/2010,Economic,Possible Plant Closing (Potential Sale),Possible Plant Closing (Potential Sale),No collective bargaining representative for the affected employees.,"John Kessler, CEO",(601) 554-0521,2732
,Transit system,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,275,5/14/2010,Postponed layoffs until 5/11/2010,-----,Economic,Plant Layoff,Plant Layoff,"Transportation Workers Union, Amalgamated Transit Union","Judith Pierce, Senior Vice President",(646) 252-5880,2731
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,19,5/13/2010,Layoffs postponed to occur between 5/10/2010 and 12/22/2010 (varying dates),No exact closing date given at this time.,Economic,Plant Closing,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Randi Karp, Director of Labor Relations",(212) 356-4415,2730
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,99,5/13/2010,Begins on 5/17/2010,No exact closing date given at this time.,Economic,Plant Closing,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Randi Karp, Director of Labor Relations",(212) 356-4415,2729
,Food Service,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,59,59,5/13/2010,-----,6/30/2010,Loss of Contract,Plant Closing,Plant Closing,Employees are not represented by a union.,"Linda Teets, Human Resource Director",(781) 246-8465,2728
,Information services,Queens | WIB Name: NEW YORK CITY | Region: New York City,-----,329,5/12/2010,8/15/2010,-----,Economic,Plant Layoff,Plant Layoff,"Queens Library Guild, District Council 37, AFSCME, AFL-CIO","Angelica Huynh, Chief Human Resources Officer",(718) 990-0737,2727
,Highlighter and marker manufacturer,Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,-----,6,5/12/2010,,-----,Relocating portions of the business functions to Mexico,Plant Layoff,Plant Layoff,UAW Local 528,"Lydia Mojica, Human Resource Manager",(516) 484-6200 Ext 164,2726
,Grocery Stores/warehouses,Central Region - Onondaga County,"4,142","4,142",5/10/10 Amended,Extensions in layoff dates occuring see below,02/20/10,Economic,Plant Closing,Plant Closing,UFCW Local 1; IBT Local 294 and IBT Local 317,"Christine McMahon, S.V.P. Human Resources",315-461-2340,2724
,Car Rental,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,29 (Assigned to LaGuardia Airport),5/6/2010,8/3/2010,-----,Economic,Plant Layoff,Plant Layoff,The affected employees do not have bumping rights.,"Andrea Lusk, Human Resources Manager",(908) 353-7807 Ext 233,2723
,Transit system,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,676 (in the division of Manhattan and Bronx Surface Transit Operating Authority MaBSTOA),4/27/2010,"6/27/2010 (554 laid off), 7/4/2010 (122 laid off)",-----,Economic,Plant Layoff,Plant Layoff,"Transportation Workers Union, Amalgamated Transit Union","Judith Pierce, Senior Vice President",(646) 252-5880,2722
,Transit system,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,29 (in the division of Manhattan and Bronx Surface Transit Operating Authority MaBSTOA),5/6/2010,7/4/2010,-----,Economic,Plant Layoff,Plant Layoff,"Transportation Workers Union, Amalgamated Transit Union",Rick Gorman,(347) 643-8120,2721
,Candle Making,Onondaga | WIB: ONONDAGA | Region: CENTRAL REGION,-----,38,5/6/2010,8/1/2010,-----,Economic,Plant Layoff,Plant Layoff,"The United Steel Workers of America, Local Union #14532-22","Roland DeVore, General Manager",(315) 703-4940,2720
The Penn Traffic Company (P&C/Quality Stores/Warehouses),Grocery Stores/warehouses,Central Region - Onondaga County,"4,142","4,142",4/26/10 Amended,Extensions in layoff dates occuring see below,-----,Economic,Plant Closing,Plant Closing,UFCW Local 1; IBT Local 294 and IBT Local 317,"Christine McMahon, S.V.P. Human Resources",315-461-2340,2719
,Manufacture of electrode ground pads,Oneida | WIB: HMO| Region: CENTRAL REGION,-----,41,5/6/2010,8/3/2010,-----,Economic,Plant Layoff,Plant Layoff,Employees are not represented by a union and do not have any bumping rights.,"Karen Hutto, Vice President of Human Resources",(315) 624-3190,2718
,Pharmeceutical Laboratory,Putnam | WIB Name: WESTCH/PTNM| Region: Mid-Hudson Region,-----,3,5/4/2010,"within the next 90 days, no specific date indicated at this time",12/31/2010,Economic,Plant Closing,Plant Closing,-----,"Awilda Gonzalez, Human Resources Manager",(914) 767-2051,2715
New York Military Academy,Private School,Orange | WIB Name: ORANGE| Region: Mid-Hudson Region,66,66,5/4/2010,"Begins on 6/5 (3 terminated), 6/11 (29 terminated), 6/18 (1 terminated, 6/30/2010 (33 terminated)",6/30/2010,Economic,Potential Plant Closing,Potential Plant Closing,Affected employees do not have bumping rights,"R.D. Watts, Superintendent",(845) 534-3710 Ext 4228,2714
"Interstate National Dealer Services, Inc.","Sell warranties for vehicles: cars, motor homes, water craft",Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,100,100,5/4/2010,,6/30/2010,Relocating operations to Georgia,Plant Closing,Plant Closing,There are no bumping rights at this location.,"Carol Vaughn, Vice President of Human Resources",(516) 228-8600 Ext 1153,2713
,Grocery Store,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,45,45 (44 union and 1 non-union),5/3/2010,7/27/2010,7/27/2010,Economic,Plant Closing,Plant Closing,UFCW District Local One,"Kristine Wydro, Director of Human Resources",(716) 635-5931,2712
,Develop and manufacture cleaning products,Fulton |WIB: FMS | Region: MOHAWK VALLEY REGION,39,16,4/30/2010,7/2/2010,"Eventually at the end of 2010, no definite date indicated yet.",Economic,Plant Closing,Plant Closing,No union representation and no provision in the company’s policy for bumping rights.,"Greg Mostoller, General Manager",(518) 762-4591 Ext 106,2711
,Licensing Agency,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,66,4/29/2010,During the 14-day period beginning 7/28/2010,-----,Economic,Plant Layoff,Plant Layoff,No employee representation at this facility and no bumping rights exist.,Carol Gershowitz,(212) 293-8500,2708
